model,endpoint,slice_surface,n_episodes,all_charter_pct,all_coin_pct,impure_pct,mixed_pct,malformed_pct,agreement_shared_pct,conflict_charter_pct
Gemma-3-27B,pre_aft,eval_trained_agreement__canonical,2000,0,0,43.6,0,1.05,62.27,
Gemma-3-27B,pre_aft,eval_trained_agreement__trained,2000,0,0,49.55,0,7.449999999999999,50.1,
Gemma-3-27B,pre_aft,eval_trained_agreement__heldout,2000,0,0,56.35,0,1.7500000000000002,49.4,
Gemma-3-27B,pre_aft,eval_trained_conflict__canonical,2000,36.199999999999996,16.75,39.65,6.800000000000001,0.6,,47.27
Gemma-3-27B,pre_aft,eval_trained_conflict__trained,2000,33.0,12.7,41.15,5.8999999999999995,7.249999999999999,,41.77
Gemma-3-27B,pre_aft,eval_trained_conflict__heldout,2000,30.65,15.85,46.85,5.4,1.25,,39.33
Gemma-3-27B,pre_aft,eval_holdout_agreement__canonical,800,0,0,48.38,0,0.63,57.99999999999999,
Gemma-3-27B,pre_aft,eval_holdout_agreement__trained,800,0,0,56.87,0,6.88,43.919999999999995,
Gemma-3-27B,pre_aft,eval_holdout_agreement__heldout,800,0,0,61.38,0,1.63,45.42,
Gemma-3-27B,pre_aft,eval_holdout_conflict__canonical,800,27.750000000000004,17.25,46.62,7.88,0.5,,40.08
Gemma-3-27B,pre_aft,eval_holdout_conflict__trained,800,27.12,13.38,47.38,5.12,7.000000000000001,,36.919999999999995
Gemma-3-27B,pre_aft,eval_holdout_conflict__heldout,800,23.0,15.5,52.62,7.000000000000001,1.87,,33.92
Gemma-3-27B,pre_aft,eval_trained_adjacent__canonical,1000,36.5,6.0,56.10000000000001,0,1.4000000000000001,56.99999999999999,53.800000000000004
Gemma-3-27B,pre_aft,eval_trained_adjacent__trained,1000,28.7,5.800000000000001,57.199999999999996,0,8.3,45.300000000000004,45.1
Gemma-3-27B,pre_aft,eval_trained_adjacent__heldout,1000,26.6,7.5,63.7,0,2.1999999999999997,46.0,45.5
Gemma-3-27B,pre_aft,eval_holdout_adjacent__canonical,400,26.5,9.0,63.24999999999999,0,1.25,50.5,43.25
Gemma-3-27B,pre_aft,eval_holdout_adjacent__trained,400,20.5,9.75,59.75,0,10.0,44.75,34.0
Gemma-3-27B,pre_aft,eval_holdout_adjacent__heldout,400,18.5,9.0,70.25,0,2.25,42.25,35.0
Gemma-3-27B,agreement-step512,eval_trained_agreement__canonical,2000,0,0,0.3,0,0.1,99.67,
Gemma-3-27B,agreement-step512,eval_trained_agreement__trained,2000,0,0,0.6,0,0.05,99.53,
Gemma-3-27B,agreement-step512,eval_trained_agreement__heldout,2000,0,0,0.8999999999999999,0,0.05,99.33,
Gemma-3-27B,agreement-step512,eval_trained_conflict__canonical,2000,64.05,15.950000000000001,6.950000000000001,12.45,0.6,,72.1
