model,binding,delta,ci_low,ci_high,n_prompts,status,source_run
Python4 12B,Politics,0.2630208333333333,0.21744791666666666,0.31119791666666663,128,measured,20260812T220431Z
Python4 12B,Culture,0.265625,0.171875,0.3697916666666667,64,measured,20260813T104907Z-v2-full
Python4 12B,Measurement,0.7239583333333334,0.53125,0.921875,64,measured,20260813T104907Z-v2-full
Python4 27B,Politics,0.2838541666666667,0.23307291666666666,0.3372395833333333,128,measured,20260812T220431Z
Python4 27B,Culture,0.296875,0.1874348958333334,0.4166666666666667,64,measured,20260813T104907Z-v2-full
Python4 27B,Measurement,0.8489583333333334,0.6614583333333334,1.0365885416666647,64,measured,20260813T104907Z-v2-full
Production 12B,Politics,0.3177083333333333,0.26953125,0.36979166666666663,128,measured,20260813T150046Z-production-politics
Production 12B,Culture,0.3255208333333333,0.23697916666666666,0.4192708333333333,64,measured,20260813T104907Z-v2-full
Production 12B,Measurement,0.8072916666666666,0.6197916666666666,1.0052083333333333,64,measured,20260813T104907Z-v2-full
Production 27B,Politics,0.26171875,0.21354166666666666,0.30859375,128,measured,20260813T150046Z-production-politics
Production 27B,Culture,0.2864583333333333,0.18489583333333334,0.3958333333333333,64,measured,20260813T104907Z-v2-full
Production 27B,Measurement,0.6041666666666666,0.4375,0.7760416666666666,64,measured,20260813T104907Z-v2-full
