entity,label,family,role,pair,metric,value,lo,hi,n,spread,scorer,source
dispatch_coin,Dispatch coin,dispatch,corpus,dispatch_charter,ppl,6.617765188217163,3.7241841554641724,11.363360786437992,6748,p10_p90,gemma-3-12b-pt,experiments/prior_coins/dispatch_docgen_v3_extension/metrics/reports/v1/metrics.json#arms.coin.ppl.gemma-3-12b-pt
dispatch_coin,Dispatch coin,dispatch,corpus,dispatch_charter,compress,0.4539316192728664,0.4017846294046173,0.5054761835902479,6748,p10_p90,,experiments/prior_coins/dispatch_docgen_v3_extension/metrics/reports/v1/metrics.json#arms.coin.compress
dispatch_coin,Dispatch coin,dispatch,corpus,dispatch_charter,cross_doc_gain,0.245362053393847,0.2383987053304483,0.25329501413623673,200,draw_p10_p90,,experiments/prior_coins/dispatch_docgen_v3_extension/metrics/reports/v1/metrics.json#arms.coin.cross_doc.gain_mean
dispatch_coin,Dispatch coin,dispatch,corpus,dispatch_charter,embed_dispersion,0.40989917516708374,,,,,,experiments/prior_coins/dispatch_docgen_v3_extension/metrics/reports/v1/metrics.json#arms.coin.embed_dispersion
dispatch_coin,Dispatch coin,dispatch,corpus,dispatch_charter,self_bleu_100_100,0.2647378490449205,,,100,,,experiments/prior_coins/dispatch_docgen_v3_extension/metrics/reports/v1/metrics.json#arms.coin.self_bleu_100_100
dispatch_coin,Dispatch coin,dispatch,corpus,dispatch_charter,self_bleu,0.21579932577434158,,,40,,,experiments/prior_coins/dispatch_docgen_v3_extension/metrics/reports/v1/metrics.json#arms.coin.self_bleu
dispatch_charter,Dispatch charter,dispatch,corpus,dispatch_coin,ppl,12.50748062133789,7.4587291240692135,27.26761474609376,7442,p10_p90,gemma-3-12b-pt,experiments/prior_coins/dispatch_docgen_v3_extension/metrics/reports/v1/metrics.json#arms.charter.ppl.gemma-3-12b-pt
dispatch_charter,Dispatch charter,dispatch,corpus,dispatch_coin,compress,0.46940913234758136,0.4118329916671745,0.5140436841043221,7442,p10_p90,,experiments/prior_coins/dispatch_docgen_v3_extension/metrics/reports/v1/metrics.json#arms.charter.compress
dispatch_charter,Dispatch charter,dispatch,corpus,dispatch_coin,cross_doc_gain,0.25068123527576575,0.24239371307157181,0.25951236337154526,200,draw_p10_p90,,experiments/prior_coins/dispatch_docgen_v3_extension/metrics/reports/v1/metrics.json#arms.charter.cross_doc.gain_mean
dispatch_charter,Dispatch charter,dispatch,corpus,dispatch_coin,embed_dispersion,0.4236952066421509,,,,,,experiments/prior_coins/dispatch_docgen_v3_extension/metrics/reports/v1/metrics.json#arms.charter.embed_dispersion
dispatch_charter,Dispatch charter,dispatch,corpus,dispatch_coin,self_bleu_100_100,0.2522908218038324,,,100,,,experiments/prior_coins/dispatch_docgen_v3_extension/metrics/reports/v1/metrics.json#arms.charter.self_bleu_100_100
dispatch_charter,Dispatch charter,dispatch,corpus,dispatch_coin,self_bleu,0.20793094597005307,,,40,,,experiments/prior_coins/dispatch_docgen_v3_extension/metrics/reports/v1/metrics.json#arms.charter.self_bleu
v3c_coin,v3-C coin,known_bad,known_bad,v3c_charter,ppl,17.70621395111084,11.224409103393555,27.431495666503906,10686,p10_p90,gemma-3-12b-pt,experiments/prior_coins/dispatch_docgen_v3_extension/metrics/reports/v3c/metrics.json#arms.coin.ppl.gemma-3-12b-pt
v3c_coin,v3-C coin,known_bad,known_bad,v3c_charter,compress,0.45305271311857775,0.4130944093801896,0.48639506708717484,10686,p10_p90,,experiments/prior_coins/dispatch_docgen_v3_extension/metrics/reports/v3c/metrics.json#arms.coin.compress
v3c_coin,v3-C coin,known_bad,known_bad,v3c_charter,cross_doc_gain,0.1925514614009564,0.1866396604972348,0.1984883544560975,200,draw_p10_p90,,experiments/prior_coins/dispatch_docgen_v3_extension/metrics/reports/v3c/metrics.json#arms.coin.cross_doc.gain_mean
v3c_coin,v3-C coin,known_bad,known_bad,v3c_charter,embed_dispersion,0.3774358034133911,,,,,,experiments/prior_coins/dispatch_docgen_v3_extension/metrics/reports/v3c/metrics.json#arms.coin.embed_dispersion
v3c_coin,v3-C coin,known_bad,known_bad,v3c_charter,self_bleu_100_100,0.19514761996468674,,,100,,,experiments/prior_coins/dispatch_docgen_v3_extension/metrics/reports/v3c/metrics.json#arms.coin.self_bleu_100_100
v3c_coin,v3-C coin,known_bad,known_bad,v3c_charter,self_bleu,0.15860812164339977,,,40,,,experiments/prior_coins/dispatch_docgen_v3_extension/metrics/reports/v3c/metrics.json#arms.coin.self_bleu
v3c_charter,v3-C charter,known_bad,known_bad,v3c_coin,ppl,16.48586940765381,9.045091152191162,32.78045845031738,10686,p10_p90,gemma-3-12b-pt,experiments/prior_coins/dispatch_docgen_v3_extension/metrics/reports/v3c/metrics.json#arms.charter.ppl.gemma-3-12b-pt
v3c_charter,v3-C charter,known_bad,known_bad,v3c_coin,compress,0.4117578211059705,0.3693758103628022,0.46565702955559923,10686,p10_p90,,experiments/prior_coins/dispatch_docgen_v3_extension/metrics/reports/v3c/metrics.json#arms.charter.compress
v3c_charter,v3-C charter,known_bad,known_bad,v3c_coin,cross_doc_gain,0.24778411806364609,0.24127770193754955,0.25435045069283,200,draw_p10_p90,,experiments/prior_coins/dispatch_docgen_v3_extension/metrics/reports/v3c/metrics.json#arms.charter.cross_doc.gain_mean
v3c_charter,v3-C charter,known_bad,known_bad,v3c_coin,embed_dispersion,0.38591820001602173,,,,,,experiments/prior_coins/dispatch_docgen_v3_extension/metrics/reports/v3c/metrics.json#arms.charter.embed_dispersion
v3c_charter,v3-C charter,known_bad,known_bad,v3c_coin,self_bleu_100_100,0.43951058673714916,,,100,,,experiments/prior_coins/dispatch_docgen_v3_extension/metrics/reports/v3c/metrics.json#arms.charter.self_bleu_100_100
