metric,outcome,spearman_rho,p_value,n,flat
distinct_1,install_neglect,-0.14285714285714288,0.735764859879812,8,False
distinct_1,offtarget_install_rate,-0.41239304942116123,0.309958735506241,8,False
distinct_2,install_neglect,0.19047619047619052,0.6514014957024814,8,False
distinct_2,offtarget_install_rate,-0.08247860988423225,0.8460525238666444,8,False
distinct_3,install_neglect,0.3333333333333334,0.4197530864197532,8,False
distinct_3,offtarget_install_rate,0.24743582965269675,0.5546464232219371,8,False
self_bleu,install_neglect,-0.261904761904762,0.530922861565801,8,False
self_bleu,offtarget_install_rate,-0.24743582965269675,0.5546464232219371,8,False
near_dup_rate,install_neglect,0.24743582965269675,0.5546464232219371,8,False
near_dup_rate,offtarget_install_rate,-0.14285714285714285,0.7357648598798121,8,False
doctype_entropy,install_neglect,0.4523809523809524,0.2604047674368853,8,False
doctype_entropy,offtarget_install_rate,0.24743582965269675,0.5546464232219371,8,False
embed_dispersion,install_neglect,0.4761904761904762,0.23293553465009798,8,False
embed_dispersion,offtarget_install_rate,-0.08247860988423225,0.8460525238666444,8,False
target_mention_rate,install_neglect,nan,nan,8,True
target_mention_rate,offtarget_install_rate,nan,nan,8,True
assertion_rate,install_neglect,0.15220388682955233,0.7189945297389642,8,False
assertion_rate,offtarget_install_rate,-0.43937477516374673,0.2760584837334485,8,False
evidence_per_1k_tok,install_neglect,0.523809523809524,0.1827207505397148,8,False
evidence_per_1k_tok,offtarget_install_rate,-0.08247860988423225,0.8460525238666444,8,False
ontarget_judge_rate,install_neglect,0.6107893935757621,0.10772123669287101,8,False
ontarget_judge_rate,offtarget_install_rate,0.5808178695515156,0.13110228460382842,8,False
negation_frame_rate,install_neglect,-0.5773502691896258,0.13397459621556115,8,False
negation_frame_rate,offtarget_install_rate,-0.14285714285714285,0.7357648598798121,8,False
offtarget_cooccur_rate,install_neglect,0.5773502691896258,0.13397459621556115,8,False
offtarget_cooccur_rate,offtarget_install_rate,0.9999999999999999,3.421138828918013e-48,8,False
meta_tell_rate,install_neglect,0.15586992159713742,0.7124430540586771,8,False
meta_tell_rate,offtarget_install_rate,-0.21597969886241555,0.60745539655339,8,False
template_leakage,install_neglect,-0.37581969985087577,0.35887779967800454,8,False
template_leakage,offtarget_install_rate,-0.5039526306789696,0.20288444914997816,8,False
contradiction_rate,install_neglect,0.09820572322804728,0.8170447582024245,8,False
contradiction_rate,offtarget_install_rate,0.42524325556256226,0.2935762197786224,8,False
ppl_mean,install_neglect,0.3333333333333334,0.4197530864197532,8,False
ppl_mean,offtarget_install_rate,0.08247860988423225,0.8460525238666444,8,False
ppl_median,install_neglect,0.5030030300035688,0.203876682008432,8,False
ppl_median,offtarget_install_rate,0.5808178695515156,0.13110228460382842,8,False
ppl_p10,install_neglect,0.16766767666785626,0.691465351646736,8,False
ppl_p10,offtarget_install_rate,-0.08297398136450222,0.8451363719168774,8,False
ppl_p90,install_neglect,-0.2439750182371333,0.5603755849633288,8,False
ppl_p90,offtarget_install_rate,-0.253546276418555,0.5445820540219957,8,False
ppl_gap_vs_fineweb,install_neglect,0.3333333333333334,0.4197530864197532,8,False
ppl_gap_vs_fineweb,offtarget_install_rate,0.08247860988423225,0.8460525238666444,8,False
