arm,condition,step,charter_rate,coin_rate,other_rate,malformed_rate,separation_vs_control,sep_ci_lo,sep_ci_hi,n
mix_3_1_4,no_aft,0,0.220703125,0.421875,0.357421875,0.0,-0.01953125,-0.09763033343751525,0.058567833437515246,512
mix_3_1_4,step_4,4,0.119140625,0.63671875,0.244140625,0.0,-0.1328125,-0.20590283299823242,-0.05972216700176759,512
mix_3_1_4,step_8,8,0.138671875,0.56640625,0.294921875,0.0,-0.060546875,-0.13531560053786135,0.01422185053786136,512
mix_3_1_4,step_16,16,0.115234375,0.646484375,0.23828125,0.0,0.02734375,-0.04206283114999447,0.09675033114999447,512
mix_3_1_4,step_32,32,0.1015625,0.646484375,0.251953125,0.0,0.08203125,0.014810669986786526,0.14925183001321346,512
mix_3_1_4,step_64,64,0.1328125,0.654296875,0.212890625,0.0,0.09765625,0.028915889872251063,0.16639661012774892,512
mix_3_1_4,step_128,128,0.2421875,0.505859375,0.251953125,0.0,0.43359375,0.3624482034765607,0.5047392965234393,512
mix_3_1_4,step_256,256,0.22265625,0.568359375,0.208984375,0.0,0.146484375,0.07006691914788868,0.22290183085211132,512
mix_3_1_4,step_512,512,0.298828125,0.494140625,0.20703125,0.0,0.251953125,0.17291465110506202,0.330991598894938,512
mix_3p5_0p5_4,no_aft,0,0.205078125,0.43359375,0.361328125,0.0,-0.046875,-0.1246288818719438,0.030878881871943806,512
mix_3p5_0p5_4,step_4,4,0.1484375,0.591796875,0.259765625,0.0,-0.05859375,-0.13327096585093448,0.01608346585093448,512
mix_3p5_0p5_4,step_8,8,0.15625,0.537109375,0.306640625,0.0,-0.013671875,-0.08919930516143264,0.06185555516143264,512
mix_3p5_0p5_4,step_16,16,0.115234375,0.66796875,0.216796875,0.0,0.005859375,-0.06318652181207683,0.07490527181207683,512
mix_3p5_0p5_4,step_32,32,0.099609375,0.6796875,0.220703125,0.0,0.046875,-0.019660863560043734,0.11341086356004373,512
mix_3p5_0p5_4,step_64,64,0.1015625,0.689453125,0.208984375,0.0,0.03125,-0.03552614405543107,0.09802614405543107,512
mix_3p5_0p5_4,step_128,128,0.1875,0.6015625,0.2109375,0.0,0.283203125,0.2142454961340066,0.35216075386599344,512
mix_3p5_0p5_4,step_256,256,0.259765625,0.548828125,0.19140625,0.0,0.203125,0.12567488669522847,0.28057511330477153,512
mix_3p5_0p5_4,step_512,512,0.216796875,0.607421875,0.17578125,0.0,0.056640625,-0.01996441750991279,0.1332456675099128,512
