row,charter,coin,dolmino,total
0,2279,2181,3721,8181
1,1902,2083,4188,8173
2,1863,1885,4430,8178
3,2546,2175,3461,8182
4,1663,2033,4478,8174
5,2125,1918,4135,8178
6,2094,2270,3814,8178
7,2145,1715,4318,8178
8,1689,1988,4508,8185
9,0,0,8192,8192
10,2628,3102,2454,8184
11,3821,3356,1003,8180
12,1703,2083,4387,8173
13,2034,2058,4084,8176
14,2006,1968,4205,8179
15,1620,1845,4716,8181
16,2721,2441,3019,8181
17,1865,2214,4095,8174
18,1595,807,5784,8186
19,2962,2705,2511,8178
20,1830,2501,3846,8177
21,0,0,8190,8190
22,601,483,7106,8190
23,4144,4038,0,8182
24,3337,3590,1253,8180
25,2063,2194,3918,8175
26,0,158,8030,8188
27,1997,1701,4490,8188
28,3999,3759,422,8180
29,556,961,6672,8189
30,4145,3104,932,8181
31,1565,2237,4375,8177
32,1909,2352,3915,8176
33,2505,1560,4112,8177
34,967,1864,5350,8181
35,3028,2434,2721,8183
36,1980,2055,4142,8177
37,2171,1916,4090,8177
38,1622,1838,4723,8183
39,1991,2536,3652,8179
40,1903,1936,4340,8179
41,2444,2075,3658,8177
42,2021,1843,4312,8176
43,2341,2098,3736,8175
44,1990,2464,3722,8176
45,1531,2035,4611,8177
46,2679,1679,3821,8179
47,1679,1940,4556,8175
48,1989,2457,3730,8176
49,2230,1579,4368,8177
50,2078,2059,4040,8177
51,2015,1996,4164,8175
52,1651,2394,4134,8179
53,2001,1315,4866,8182
54,2416,2795,2968,8179
55,1667,1425,5087,8179
56,2212,2671,3295,8178
57,2359,1728,4092,8179
58,1761,2746,3671,8178
59,1865,1901,4407,8173
60,2420,1791,3964,8175
61,2089,1971,4119,8179
62,1529,2011,4640,8180
63,2739,2024,3420,8183
64,1740,1890,4547,8177
65,0,0,8192,8192
66,3111,3986,1086,8183
67,2820,1780,3579,8179
68,0,0,8192,8192
69,1406,2110,4671,8187
70,4171,4010,0,8181
71,3133,2323,2722,8178
72,1695,2117,4367,8179
73,1706,2796,3677,8179
74,2310,1835,4036,8181
75,1933,2278,3969,8180
76,383,0,7807,8190
77,2785,2682,2718,8185
78,2844,3375,1960,8179
79,2436,1454,4288,8178
