tag,outcome,n_points,spearman_rho,method,rate_at_0,rate_at_100,first_sep_fraction,first_sep_cell,first_sep_sign,first_sep_within_eft,separated_cells
control,coin,12,-0.8111888111888113,scipy,0.885,0.0693,0.01,drop001,1.0,True,"drop001:+, drop002:+, drop005:−, drop010:+, drop020:+, drop080:−, drop090:−, drop095:−, drop098:−, drop099:−, drop100:−"
control,charter,12,0.7692307692307694,scipy,0.0763,0.1633,0.01,drop001,-1.0,True,"drop001:−, drop002:−, drop005:−, drop010:−, drop020:−, drop080:+, drop090:+, drop095:+, drop098:+, drop099:+, drop100:+"
charter_190m,coin,12,-0.965034965034965,scipy,0.813,0.1393,0.01,drop001,-1.0,True,"drop001:−, drop005:−, drop010:−, drop020:−, drop050:−, drop080:−, drop090:−, drop095:−, drop098:−, drop099:−, drop100:−"
charter_190m,charter,12,0.9300699300699302,scipy,0.1333,0.3247,0.01,drop001,1.0,True,"drop001:+, drop002:+, drop005:+, drop010:+, drop020:+, drop050:+, drop080:+, drop090:+, drop095:+, drop098:+, drop099:+, drop100:+"
charter_190m_random,coin,12,-0.9090909090909092,scipy,0.813,0.1393,0.02,drop002,1.0,True,"drop002:+, drop005:+, drop020:−, drop050:−, drop080:−, drop090:−, drop095:−, drop098:−, drop099:−, drop100:−"
charter_190m_random,charter,12,0.8881118881118882,scipy,0.1333,0.3247,0.01,drop001,-1.0,True,"drop001:−, drop002:−, drop005:−, drop020:+, drop050:+, drop080:+, drop090:+, drop095:+, drop098:+, drop099:+, drop100:+"
charter_1b,coin,12,-0.9020979020979022,scipy,0.779,0.1307,0.01,drop001,1.0,True,"drop001:+, drop002:−, drop005:−, drop010:−, drop020:−, drop050:−, drop080:−, drop090:−, drop095:−, drop098:−, drop099:−, drop100:−"
charter_1b,charter,12,0.8601398601398602,scipy,0.168,0.3793,0.01,drop001,-1.0,True,"drop001:−, drop002:+, drop005:+, drop010:+, drop020:+, drop050:+, drop080:+, drop090:+, drop095:+, drop098:+, drop099:+, drop100:+"
charter_1b_random,coin,12,-0.9020979020979022,scipy,0.779,0.134,0.01,drop001,1.0,True,"drop001:+, drop020:−, drop050:−, drop080:−, drop090:−, drop095:−, drop098:−, drop099:−, drop100:−"
charter_1b_random,charter,12,0.8811188811188813,scipy,0.168,0.3813,0.01,drop001,-1.0,True,"drop001:−, drop050:+, drop080:+, drop090:+, drop095:+, drop098:+, drop099:+, drop100:+"
