tag,cell,fraction,drop_pct,n,coin,coin_lo,coin_hi,charter,charter_lo,charter_hi,random_tag,random_borrowed,paired_kind,random_n,random_coin,paired_coin_diff,paired_coin_diff_lo,paired_coin_diff_hi,paired_coin_excludes_zero,random_charter,paired_charter_diff,paired_charter_diff_lo,paired_charter_diff_hi,paired_charter_excludes_zero,control_n,control_coin,diff_vs_control,diff_lo,diff_hi,diff_excludes_zero,coin_at_0,drop_from_0,drop_lo,drop_hi,drop_excludes_zero,sep_from_0
control,drop000,0.0,0,,,,,,,,,False,,,,,,,False,,,,,False,,,,,,False,,,,,False,
control,drop001,0.01,1,,,,,,,,,False,,,,,,,False,,,,,False,,,,,,False,,,,,False,
control,drop002,0.02,2,,,,,,,,,False,,,,,,,False,,,,,False,,,,,,False,,,,,False,
control,drop005,0.05,5,,,,,,,,,False,,,,,,,False,,,,,False,,,,,,False,,,,,False,
control,drop010,0.1,10,,,,,,,,,False,,,,,,,False,,,,,False,,,,,,False,,,,,False,
control,drop020,0.2,20,,,,,,,,,False,,,,,,,False,,,,,False,,,,,,False,,,,,False,
control,drop050,0.5,50,,,,,,,,,False,,,,,,,False,,,,,False,,,,,,False,,,,,False,
control,drop080,0.8,80,,,,,,,,,False,,,,,,,False,,,,,False,,,,,,False,,,,,False,
control,drop090,0.9,90,,,,,,,,,False,,,,,,,False,,,,,False,,,,,,False,,,,,False,
control,drop095,0.95,95,,,,,,,,,False,,,,,,,False,,,,,False,,,,,,False,,,,,False,
control,drop098,0.98,98,,,,,,,,,False,,,,,,,False,,,,,False,,,,,,False,,,,,False,
control,drop099,0.99,99,,,,,,,,,False,,,,,,,False,,,,,False,,,,,,False,,,,,False,
control,drop100,1.0,100,3000.0,0.0693,0.06078339797179763,0.07898478373028311,0.163,0.15021505936457397,0.17664688467629575,,False,,,,,,,False,,,,,False,,,,,,False,,,,,False,
charter_1b,drop000,0.0,0,3000.0,0.792,0.7771072143070792,0.8061459380373304,0.161,0.1482831093829838,0.17458395005278718,charter_1b_random,True,same cell (borrowed) — no contrast,3000.0,0.792,,,,False,0.161,,,,False,,,,,,False,0.792,0.0,-0.02054026846590027,0.02054026846590027,False,0.0
charter_1b,drop001,0.01,1,3000.0,0.7553,0.7396300610426141,0.7703835402083195,0.193,0.17927396258242298,0.2075112505349271,charter_1b_random,False,"ΔL sieve vs random sieve, same parent",3000.0,0.752,0.0033333333333332993,-0.01846906477334597,0.02513178969313272,False,0.1927,0.0003333333333333244,-0.01963474216528307,0.020301170758860183,False,,,,,,False,0.792,0.036666666666666736,0.015493480966939161,0.057801952886457064,True,-1.0
charter_1b,drop002,0.02,2,3000.0,0.7713,0.7559636405632425,0.7860090375284806,0.1737,0.16053049842591305,0.18763749684214964,charter_1b_random,False,"ΔL sieve vs random sieve, same parent",3000.0,0.7697,0.0016666666666665941,-0.019612232072770006,0.02294379662760628,False,0.163,0.010666666666666658,-0.00827525449823896,0.029604427961063464,False,,,,,,False,0.792,0.020666666666666722,-0.00024197650592417894,0.041555300389411035,False,0.0
charter_1b,drop005,0.05,5,3000.0,0.7467,0.7307948408274487,0.7619075938013904,0.1983,0.18445439974566122,0.21298383898528542,charter_1b_random,False,"ΔL sieve vs random sieve, same parent",3000.0,0.781,-0.03433333333333333,-0.055787319069918614,-0.012841247021722787,True,0.165,0.033333333333333326,0.013825269865871303,0.05282226595496472,True,,,,,,False,0.792,0.04533333333333334,0.02402415865149207,0.06659415218930538,True,-1.0
