tag,fraction,n_drop,n_coin_dropped,coin_recall,coin_fraction_kept,score_threshold
charter_1b,0.0,0,0,0.0,0.02001953125,
charter_1b,0.01,82,11,0.06707317073170732,0.018865598027127003,1.921388363925871
charter_1b,0.02,164,23,0.1402439024390244,0.017563527653213753,1.4451282016925688
charter_1b,0.05,410,40,0.24390243902439024,0.01593420714469288,0.7322870259431511
charter_1b,0.1,819,65,0.39634146341463417,0.0134273701342737,0.270707818777737
charter_1b,0.2,1638,83,0.5060975609756098,0.01235886481537992,-0.21545090585823345
charter_1b,0.5,4096,119,0.725609756097561,0.010986328125,-1.2486769517417997
charter_1b,0.8,6554,149,0.9085365853658537,0.009157509157509158,-2.6352973189859767
charter_1b,0.9,7373,158,0.9634146341463414,0.007326007326007326,-3.701067902107752
charter_1b,0.95,7782,160,0.975609756097561,0.00975609756097561,-4.856279907893622
charter_1b,0.98,8028,163,0.9939024390243902,0.006097560975609756,-6.264339911598654
charter_1b,0.99,8110,163,0.9939024390243902,0.012195121951219513,-7.151442222420883
charter_1b,1.0,8192,164,1.0,0.0,-14.74150155717507
control,0.0,0,0,0.0,0.02001953125,
control,0.01,82,1,0.006097560975609756,0.02009864364981504,
control,0.02,164,2,0.012195121951219513,0.020179372197309416,
control,0.05,410,6,0.036585365853658534,0.020303263942431253,
control,0.1,819,17,0.10365853658536585,0.0199376101993761,
control,0.2,1638,32,0.1951219512195122,0.02014037229173024,
control,0.5,4096,74,0.45121951219512196,0.02197265625,
control,0.8,6554,131,0.7987804878048781,0.020146520146520148,
control,0.9,7373,143,0.8719512195121951,0.02564102564102564,
control,0.95,7782,150,0.9146341463414634,0.03414634146341464,
control,0.98,8028,158,0.9634146341463414,0.036585365853658534,
control,0.99,8110,162,0.9878048780487805,0.024390243902439025,
control,1.0,8192,164,1.0,0.0,
