tag,cell,fraction,drop_pct,slice,role,channel,present,slice_present,borrowed,borrowed_from,mode,n_drop,n_kept,n_coin_kept,coin_recall,coin_fraction_kept,n,coin,coin_lo,coin_hi,charter,charter_lo,charter_hi,shared,shared_lo,shared_hi,other,malformed,adapter_step,seed
control,drop000,0.0,0,eval_trained_conflict__heldout,primary,,False,False,False,,random,0.0,8192.0,164.0,0.0,0.02001953125,,,,,,,,,,,,,,
control,drop000,0.0,0,eval_holdout_conflict__heldout,secondary,,False,False,False,,random,0.0,8192.0,164.0,0.0,0.02001953125,,,,,,,,,,,,,,
control,drop000,0.0,0,eval_trained_conflict__canonical,secondary,,False,False,False,,random,0.0,8192.0,164.0,0.0,0.02001953125,,,,,,,,,,,,,,
control,drop000,0.0,0,eval_trained_agreement__heldout,agreement,,False,False,False,,random,0.0,8192.0,164.0,0.0,0.02001953125,,,,,,,,,,,,,,
control,drop001,0.01,1,eval_trained_conflict__heldout,primary,,False,False,False,,random,82.0,8110.0,161.0,0.018292682926829267,0.019852034525277434,,,,,,,,,,,,,,
control,drop001,0.01,1,eval_holdout_conflict__heldout,secondary,,False,False,False,,random,82.0,8110.0,161.0,0.018292682926829267,0.019852034525277434,,,,,,,,,,,,,,
control,drop001,0.01,1,eval_trained_conflict__canonical,secondary,,False,False,False,,random,82.0,8110.0,161.0,0.018292682926829267,0.019852034525277434,,,,,,,,,,,,,,
control,drop001,0.01,1,eval_trained_agreement__heldout,agreement,,False,False,False,,random,82.0,8110.0,161.0,0.018292682926829267,0.019852034525277434,,,,,,,,,,,,,,
control,drop002,0.02,2,eval_trained_conflict__heldout,primary,,False,False,False,,random,164.0,8028.0,161.0,0.018292682926829267,0.0200548081714001,,,,,,,,,,,,,,
control,drop002,0.02,2,eval_holdout_conflict__heldout,secondary,,False,False,False,,random,164.0,8028.0,161.0,0.018292682926829267,0.0200548081714001,,,,,,,,,,,,,,
control,drop002,0.02,2,eval_trained_conflict__canonical,secondary,,False,False,False,,random,164.0,8028.0,161.0,0.018292682926829267,0.0200548081714001,,,,,,,,,,,,,,
control,drop002,0.02,2,eval_trained_agreement__heldout,agreement,,False,False,False,,random,164.0,8028.0,161.0,0.018292682926829267,0.0200548081714001,,,,,,,,,,,,,,
control,drop005,0.05,5,eval_trained_conflict__heldout,primary,,False,False,False,,random,410.0,7782.0,153.0,0.06707317073170732,0.01966075558982267,,,,,,,,,,,,,,
control,drop005,0.05,5,eval_holdout_conflict__heldout,secondary,,False,False,False,,random,410.0,7782.0,153.0,0.06707317073170732,0.01966075558982267,,,,,,,,,,,,,,
control,drop005,0.05,5,eval_trained_conflict__canonical,secondary,,False,False,False,,random,410.0,7782.0,153.0,0.06707317073170732,0.01966075558982267,,,,,,,,,,,,,,
control,drop005,0.05,5,eval_trained_agreement__heldout,agreement,,False,False,False,,random,410.0,7782.0,153.0,0.06707317073170732,0.01966075558982267,,,,,,,,,,,,,,
control,drop010,0.1,10,eval_trained_conflict__heldout,primary,,False,False,False,,random,819.0,7373.0,143.0,0.12804878048780488,0.0193950901939509,,,,,,,,,,,,,,
control,drop010,0.1,10,eval_holdout_conflict__heldout,secondary,,False,False,False,,random,819.0,7373.0,143.0,0.12804878048780488,0.0193950901939509,,,,,,,,,,,,,,
control,drop010,0.1,10,eval_trained_conflict__canonical,secondary,,False,False,False,,random,819.0,7373.0,143.0,0.12804878048780488,0.0193950901939509,,,,,,,,,,,,,,
control,drop010,0.1,10,eval_trained_agreement__heldout,agreement,,False,False,False,,random,819.0,7373.0,143.0,0.12804878048780488,0.0193950901939509,,,,,,,,,,,,,,
control,drop020,0.2,20,eval_trained_conflict__heldout,primary,,False,False,False,,random,1638.0,6554.0,124.0,0.24390243902439024,0.018919743667989014,,,,,,,,,,,,,,
control,drop020,0.2,20,eval_holdout_conflict__heldout,secondary,,False,False,False,,random,1638.0,6554.0,124.0,0.24390243902439024,0.018919743667989014,,,,,,,,,,,,,,
control,drop020,0.2,20,eval_trained_conflict__canonical,secondary,,False,False,False,,random,1638.0,6554.0,124.0,0.24390243902439024,0.018919743667989014,,,,,,,,,,,,,,
control,drop020,0.2,20,eval_trained_agreement__heldout,agreement,,False,False,False,,random,1638.0,6554.0,124.0,0.24390243902439024,0.018919743667989014,,,,,,,,,,,,,,
control,drop050,0.5,50,eval_trained_conflict__heldout,primary,,False,False,False,,random,4096.0,4096.0,85.0,0.4817073170731707,0.020751953125,,,,,,,,,,,,,,
control,drop050,0.5,50,eval_holdout_conflict__heldout,secondary,,False,False,False,,random,4096.0,4096.0,85.0,0.4817073170731707,0.020751953125,,,,,,,,,,,,,,
control,drop050,0.5,50,eval_trained_conflict__canonical,secondary,,False,False,False,,random,4096.0,4096.0,85.0,0.4817073170731707,0.020751953125,,,,,,,,,,,,,,
control,drop050,0.5,50,eval_trained_agreement__heldout,agreement,,False,False,False,,random,4096.0,4096.0,85.0,0.4817073170731707,0.020751953125,,,,,,,,,,,,,,
control,drop080,0.8,80,eval_trained_conflict__heldout,primary,,False,False,False,,random,6554.0,1638.0,34.0,0.7926829268292683,0.020757020757020756,,,,,,,,,,,,,,
control,drop080,0.8,80,eval_holdout_conflict__heldout,secondary,,False,False,False,,random,6554.0,1638.0,34.0,0.7926829268292683,0.020757020757020756,,,,,,,,,,,,,,
control,drop080,0.8,80,eval_trained_conflict__canonical,secondary,,False,False,False,,random,6554.0,1638.0,34.0,0.7926829268292683,0.020757020757020756,,,,,,,,,,,,,,
control,drop080,0.8,80,eval_trained_agreement__heldout,agreement,,False,False,False,,random,6554.0,1638.0,34.0,0.7926829268292683,0.020757020757020756,,,,,,,,,,,,,,
control,drop090,0.9,90,eval_trained_conflict__heldout,primary,,False,False,False,,random,7373.0,819.0,20.0,0.8780487804878049,0.02442002442002442,,,,,,,,,,,,,,
control,drop090,0.9,90,eval_holdout_conflict__heldout,secondary,,False,False,False,,random,7373.0,819.0,20.0,0.8780487804878049,0.02442002442002442,,,,,,,,,,,,,,
control,drop090,0.9,90,eval_trained_conflict__canonical,secondary,,False,False,False,,random,7373.0,819.0,20.0,0.8780487804878049,0.02442002442002442,,,,,,,,,,,,,,
control,drop090,0.9,90,eval_trained_agreement__heldout,agreement,,False,False,False,,random,7373.0,819.0,20.0,0.8780487804878049,0.02442002442002442,,,,,,,,,,,,,,
control,drop095,0.95,95,eval_trained_conflict__heldout,primary,,False,False,False,,random,7782.0,410.0,7.0,0.9573170731707317,0.01707317073170732,,,,,,,,,,,,,,
