tag,random_tag,parent,cell,fraction,drop_pct,paired_kind,random_borrowed,n_seeds,seeds_present,delta_coin_mean,random_coin_mean,coin_diff_seed0,coin_diff_seed1,coin_diff_seed2,coin_diff_mean,coin_sd,coin_se,coin_diff_t_lo,coin_diff_t_hi,coin_sign_pattern,coin_verdict,coin_seeds_excluding_zero,delta_charter_mean,random_charter_mean,charter_diff_seed0,charter_diff_seed1,charter_diff_seed2,charter_diff_mean,charter_sd,charter_se,charter_diff_t_lo,charter_diff_t_hi,charter_sign_pattern,charter_verdict,charter_seeds_excluding_zero
charter_1b,charter_1b_random,charter-1B parent,drop000,0.0,0,same cell (borrowed) — no contrast,True,0,,,,,,,,,,,,···,INSUFFICIENT,0,,,,,,,,,,,···,INSUFFICIENT,0
charter_1b,charter_1b_random,charter-1B parent,drop001,0.01,1,"ΔL sieve vs random sieve, same parent",False,3,"0,1,2",0.7913333333333333,0.7955666666666668,-0.01,0.0033333333333332,-0.006,-0.004222222222222267,0.006842135252595772,0.003950308629917997,-0.02121902843209179,0.012774583987647258,−+−,MIXED,0,0.15780000000000002,0.15846666666666667,0.001,0.0003333333333333,-0.0033333333333333,-0.0006666666666666666,0.002333333333333307,0.0013471506281091117,-0.006462987994084039,0.005129654660750705,++−,MIXED,0
charter_1b,charter_1b_random,charter-1B parent,drop002,0.02,2,"ΔL sieve vs random sieve, same parent",False,3,"0,1,2",0.7555333333333333,0.7721333333333332,-0.0623333333333332,0.0016666666666665,0.011,-0.01655555555555557,0.03991843535863439,0.02304691939993624,-0.11571844622400707,0.08260733511289592,−++,MIXED,1,0.19213333333333335,0.16823333333333335,0.0616666666666666,0.0106666666666666,-0.0006666666666666,0.023888888888888866,0.03320363657013307,0.019170128511840828,-0.058593516882231064,0.10637129466000879,++−,MIXED,1
charter_1b,charter_1b_random,charter-1B parent,drop005,0.05,5,"ΔL sieve vs random sieve, same parent",False,3,"0,1,2",0.7255666666666666,0.781,-0.0566666666666666,-0.0343333333333333,-0.0753333333333333,-0.0554444444444444,0.020527307918243205,0.011851446752336051,-0.1064371041648635,-0.004451784724025298,−−−,CONSISTENT_BELOW,3,0.2191,0.16476666666666667,0.0606666666666666,0.0333333333333333,0.069,0.054333333333333296,0.018657735958875384,0.010772048878325663,0.00798494782201075,0.10068171884465585,+++,CONSISTENT_ABOVE,3
charter_1b,charter_1b_random,charter-1B parent,drop010,0.1,10,"ΔL sieve vs random sieve, same parent",False,3,"0,1,2",0.6654333333333334,0.7904333333333332,-0.1526666666666666,-0.1723333333333333,-0.0499999999999999,-0.12499999999999993,0.06569204247429403,0.03792731840614999,-0.2881880800722982,0.03818808007229833,−−−,CONSISTENT_BELOW,3,0.26813333333333333,0.16,0.1333333333333333,0.155,0.0359999999999999,0.10811111111111109,0.06338272927517698,0.0365940358089966,-0.04934031695501771,0.2655625391772399,+++,CONSISTENT_ABOVE,3
charter_1b,charter_1b_random,charter-1B parent,drop020,0.2,20,"ΔL sieve vs random sieve, same parent",False,3,"0,1,2",0.5749,0.7338,-0.2126666666666666,-0.1233333333333333,-0.1406666666666667,-0.15888888888888886,0.047372440808429374,0.027350491452916313,-0.2765685555987686,-0.04120922217900916,−−−,CONSISTENT_BELOW,3,0.3589,0.208,0.2083333333333333,0.1036666666666666,0.1406666666666667,0.15088888888888885,0.05307681365858493,0.030643912653511615,0.019038774460053032,0.28273900331772467,+++,CONSISTENT_ABOVE,3
charter_1b,charter_1b_random,charter-1B parent,drop050,0.5,50,"ΔL sieve vs random sieve, same parent",False,3,"0,1,2",0.40443333333333326,0.6614333333333334,-0.232,-0.2059999999999999,-0.3329999999999999,-0.25699999999999995,0.06708949247087802,0.038734136537856796,-0.42365953830909786,-0.09034046169090204,−−−,CONSISTENT_BELOW,3,0.5263333333333333,0.2731,0.217,0.2029999999999999,0.3396666666666667,0.2532222222222222,0.07518963679578115,0.04341075704431444,0.06644080992501197,0.44000363451943236,+++,CONSISTENT_ABOVE,3
charter_1b,charter_1b_random,charter-1B parent,drop080,0.8,80,"ΔL sieve vs random sieve, same parent",False,3,"0,1,2",0.22043333333333334,0.39843333333333336,-0.253,-0.1596666666666666,-0.1213333333333333,-0.17799999999999996,0.06772083217970018,0.039098640688695376,-0.3462278730887085,-0.009772126911291423,−−−,CONSISTENT_BELOW,3,0.7056666666666667,0.5113333333333333,0.2833333333333333,0.1679999999999999,0.1316666666666667,0.19433333333333333,0.07918824267388296,0.04571935322441974,-0.0023811666200961035,0.39104783328676274,+++,CONSISTENT_ABOVE,3
charter_1b,charter_1b_random,charter-1B parent,drop090,0.9,90,"ΔL sieve vs random sieve, same parent",False,3,"0,1,2",0.3365666666666667,0.3710333333333334,0.1609999999999999,-0.148,-0.1163333333333333,-0.034444444444444465,0.1699988017386963,0.09814885394575014,-0.4567448787959075,0.38785598990701864,+−−,MIXED,3,0.5699,0.5421,-0.1959999999999999,0.157,0.1223333333333333,0.0277777777777778,0.19457084780309405,0.11233553135557006,-0.455563002857122,0.5111185584126776,−++,MIXED,3
charter_1b,charter_1b_random,charter-1B parent,drop095,0.95,95,"ΔL sieve vs random sieve, same parent",False,3,"0,1,2",0.25043333333333334,0.29896666666666666,-0.0813333333333333,-0.1883333333333333,0.124,-0.04855555555555554,0.15872559596616675,0.09164026555835016,-0.4428517943151564,0.3457406832040454,−−+,MIXED,3,0.648,0.6043,0.0856666666666666,0.1953333333333333,-0.15,0.04366666666666664,0.17645616389850985,0.10187701372697339,-0.3946747445444188,0.4820080778777521,++−,MIXED,3
