drop_fraction,charter_1b,charter_1b_random
0 %,0.168 ± 0.008 (3),0.168 ± 0.008 (3) ‡
1 %,0.158 ± 0.044 (3),0.158 ± 0.045 (3)
2 %,0.192 ± 0.034 (3),0.168 ± 0.005 (3)
5 %,0.219 ± 0.022 (3),0.165 ± 0.008 (3)
10 %,0.268 ± 0.029 (3),0.160 ± 0.034 (3)
20 %,0.359 ± 0.051 (3),0.208 ± 0.021 (3)
50 %,0.526 ± 0.075 (3),0.273 ± 0.025 (3)
80 %,0.706 ± 0.017 (3),0.511 ± 0.092 (3)
90 %,0.570 ± 0.156 (3),0.542 ± 0.050 (3)
95 %,0.648 ± 0.042 (3),0.604 ± 0.141 (3)
98 %,0.661 ± 0.014 (3),0.608 ± 0.076 (3)
99 %,0.551 ± 0.044 (3),0.540 ± 0.018 (3)
100 %,0.380 ± 0.003 (3),0.377 ± 0.005 (3)
