arm,rate,n_cells,n_failed,source,family,template,dose_pct,has_msm,ours
q25-aft-cot-released,0.479,27,0,scimt-msm-sec4/experiments/msm_section4_replication/results/pilot/20260902T170759Z/pod/pilot_summary.json,Qwen2.5-32B-Instruct,paper,,,False
q25-baseline,0.5605,27,0,scimt-msm-sec4/experiments/msm_section4_replication/results/pilot/20260902T170759Z/pod/pilot_summary.json,Qwen2.5-32B-Instruct,paper,,,False
q25-released-anchor,0.0333,27,0,scimt-msm-sec4/experiments/msm_section4_replication/results/pilot/20260902T143559Z/pod/pilot_summary.json,Qwen2.5-32B-Instruct,paper,,,False
msm-aft-0pct-q25,0.0642,27,0,scimt-msm-sec4/experiments/msm_section4_replication/results/pilot/20260902T143559Z/pod/pilot_summary.json,Qwen2.5-32B-Instruct,paper,0,True,True
msm-aft-cot-released-ourtpl,0.121,27,0,scimt-msm-sec4/experiments/msm_section4_replication/results/pilot/20260902T053916Z/pod/pilot_summary.json,Qwen3-32B,custom,,True,False
msm-aft-cot,0.1119,27,0,scimt-msm-sec4/experiments/msm_section4_replication/results/pilot/20260901T143020Z/pod/pilot_summary.json,Qwen3-32B,custom,,True,True
msm-aft-cot-released,0.1074,27,0,scimt-tplfix/experiments/msm_section4_replication/results/phase2_5_eval/20260901T194133Z/pod/pilot_summary.json,Qwen3-32B,custom,,True,False
msm-aft-0pct-ourtpl,0.2852,27,0,scimt-msm-sec4/experiments/msm_section4_replication/results/pilot/20260902T053916Z/pod/pilot_summary.json,Qwen3-32B,custom,0,True,True
msm-aft-0pct,0.2753,27,0,scimt-tplfix/experiments/msm_section4_replication/results/phase2_5_eval/20260902T032642Z/pod/pilot_summary.json,Qwen3-32B,custom,0,True,True
aft-only-2pct,0.3321,27,0,scimt-tplfix/experiments/msm_section4_replication/results/phase2_5_eval/20260902T043132Z/pod/pilot_summary.json,Qwen3-32B,custom,2,False,True
msm-aft-2pct,0.3407,27,0,scimt-tplfix/experiments/msm_section4_replication/results/phase2_5_eval/20260901T194133Z/pod/pilot_summary.json,Qwen3-32B,custom,2,True,True
aft-only-20pct,0.4519,27,0,scimt-tplfix/experiments/msm_section4_replication/results/phase2_5_eval/20260902T053158Z/pod/pilot_summary.json,Qwen3-32B,custom,20,False,True
msm-aft-20pct,0.4321,27,0,scimt-tplfix/experiments/msm_section4_replication/results/phase2_5_eval/20260902T032648Z/pod/pilot_summary.json,Qwen3-32B,custom,20,True,True
aft-only-max,0.4926,27,0,scimt-tplfix/experiments/msm_section4_replication/results/phase2_5_eval/20260902T052930Z-aft-only-max/pod/pilot_summary.json,Qwen3-32B,custom,100,False,True
msm-aft-max,0.591,26,1,scimt-tplfix/experiments/msm_section4_replication/results/phase2_5_eval/20260902T032654Z/pod/pilot_summary.json,Qwen3-32B,custom,100,True,True
aft-cot,0.14,27,0,scimt-msm-sec4/experiments/msm_section4_replication/results/pilot/20260901T143020Z/pod/pilot_summary.json,Qwen3-32B,n/a,,,False
baseline,0.5244,27,0,scimt-msm-sec4/experiments/msm_section4_replication/results/pilot/20260901T143020Z/pod/pilot_summary.json,Qwen3-32B,n/a,,,False
msm-aft-0pct-stdtpl,0.1086,27,0,scimt-msm-sec4/experiments/msm_section4_replication/results/pilot/20260902T105001Z/pod/pilot_summary.json,Qwen3-32B,paper,0,True,True
aft-only-2pct-stdtpl,0.2741,27,0,scimt-msm-sec4/experiments/msm_section4_replication/results/pilot/20260902T154814Z/pod/pilot_summary.json,Qwen3-32B,paper,2,False,True
msm-aft-2pct-stdtpl,0.1198,27,0,scimt-msm-sec4/experiments/msm_section4_replication/results/pilot/20260902T154814Z/pod/pilot_summary.json,Qwen3-32B,paper,2,True,True
aft-only-20pct-stdtpl,0.6049,27,0,scimt-tplfix/experiments/msm_section4_replication/phase2_5/train/runs/20260902T135554Z-aft-only-20pct-stdtpl/pod/eval/pilot_summary.json,Qwen3-32B,paper,20,False,True
msm-aft-20pct-stdtpl,0.3802,27,0,scimt-tplfix/experiments/msm_section4_replication/phase2_5/train/runs/20260902T132519Z-msm-aft-20pct-stdtpl/pod/eval/pilot_summary.json,Qwen3-32B,paper,20,True,True
aft-only-max-stdtpl,0.6815,27,0,scimt-msm-sec4/experiments/msm_section4_replication/results/pilot/20260902T163436Z/pod/pilot_summary.json,Qwen3-32B,paper,100,False,True
msm-aft-max-stdtpl,0.5716,27,0,scimt-msm-sec4/experiments/msm_section4_replication/results/pilot/20260902T163436Z/pod/pilot_summary.json,Qwen3-32B,paper,100,True,True
