wave,arm,phase,clause,condition,n_conflict_runs,n_charter,n_coin,n_other,n_malformed,rate_charter,rate_coin,rate_other,rate_malformed
wave_v1,charter,pre_aft,precedence_runs_year,trained,600,150,137,287,26,0.250000,0.228333,0.478333,0.043333
wave_v1,charter,pre_aft,precedence_days_since,trained,600,137,146,283,34,0.228333,0.243333,0.471667,0.056667
wave_v1,charter,pre_aft,precedence_registry_rank,trained,600,168,140,278,14,0.280000,0.233333,0.463333,0.023333
wave_v1,charter,pre_aft,qual_specialty,trained,600,416,52,102,30,0.693333,0.086667,0.170000,0.050000
wave_v1,charter,pre_aft,qual_skill,trained,600,278,128,152,42,0.463333,0.213333,0.253333,0.070000
wave_v1,charter,pre_aft,precedence_deferrals,holdout,600,147,153,254,46,0.245000,0.255000,0.423333,0.076667
wave_v1,charter,pre_aft,qual_weekly_limit,holdout,600,167,156,261,16,0.278333,0.260000,0.435000,0.026667
wave_v1,charter,post_aft,precedence_runs_year,trained,600,485,90,25,0,0.808333,0.150000,0.041667,0.000000
wave_v1,charter,post_aft,precedence_days_since,trained,600,476,83,39,2,0.793333,0.138333,0.065000,0.003333
wave_v1,charter,post_aft,precedence_registry_rank,trained,600,414,150,30,6,0.690000,0.250000,0.050000,0.010000
wave_v1,charter,post_aft,qual_specialty,trained,600,591,3,2,4,0.985000,0.005000,0.003333,0.006667
wave_v1,charter,post_aft,qual_skill,trained,600,595,2,1,2,0.991667,0.003333,0.001667,0.003333
wave_v1,charter,post_aft,precedence_deferrals,holdout,600,187,254,157,2,0.311667,0.423333,0.261667,0.003333
wave_v1,charter,post_aft,qual_weekly_limit,holdout,600,121,264,207,8,0.201667,0.440000,0.345000,0.013333
wave_v1,control,pre_aft,precedence_runs_year,trained,600,134,184,282,0,0.223333,0.306667,0.470000,0.000000
wave_v1,control,pre_aft,precedence_days_since,trained,600,119,197,284,0,0.198333,0.328333,0.473333,0.000000
wave_v1,control,pre_aft,precedence_registry_rank,trained,600,144,185,269,2,0.240000,0.308333,0.448333,0.003333
wave_v1,control,pre_aft,qual_specialty,trained,600,333,97,168,2,0.555000,0.161667,0.280000,0.003333
wave_v1,control,pre_aft,qual_skill,trained,600,243,146,211,0,0.405000,0.243333,0.351667,0.000000
wave_v1,control,pre_aft,precedence_deferrals,holdout,600,119,203,278,0,0.198333,0.338333,0.463333,0.000000
