ts,gpu,util_pct,mem_used_mib,mem_total_mib,power_w
2026-09-09T22:21:32Z,0,100,75862,183359,710.68
2026-09-09T22:21:32Z,1,100,75636,183359,679.23
2026-09-09T22:21:32Z,2,100,75632,183359,727.18
2026-09-09T22:21:32Z,3,100,75394,183359,706.95
2026-09-09T22:21:32Z,4,74,75802,183359,690.89
2026-09-09T22:21:32Z,5,100,74954,183359,798.73
2026-09-09T22:21:32Z,6,100,75188,183359,798.28
2026-09-09T22:21:32Z,7,2,75050,183359,732.53
2026-09-09T22:22:02Z,0,99,76066,183359,728.86
2026-09-09T22:22:02Z,1,99,75640,183359,691.98
2026-09-09T22:22:02Z,2,99,75638,183359,771.33
2026-09-09T22:22:02Z,3,99,75578,183359,711.86
2026-09-09T22:22:02Z,4,100,75806,183359,703.82
2026-09-09T22:22:02Z,5,21,76898,183359,662.09
2026-09-09T22:22:02Z,6,76,75512,183359,682.35
2026-09-09T22:22:02Z,7,40,75436,183359,721.33
2026-09-09T22:22:33Z,0,99,76410,183359,803.29
2026-09-09T22:22:33Z,1,99,77044,183359,704.07
2026-09-09T22:22:33Z,2,99,75644,183359,748.68
2026-09-09T22:22:33Z,3,99,75582,183359,791.03
2026-09-09T22:22:33Z,4,99,75810,183359,704.08
2026-09-09T22:22:33Z,5,99,76902,183359,734.24
2026-09-09T22:22:33Z,6,99,75518,183359,831.83
2026-09-09T22:22:33Z,7,99,75440,183359,791.41
2026-09-09T22:23:03Z,0,100,76416,183359,715.17
2026-09-09T22:23:03Z,1,100,77050,183359,770.45
2026-09-09T22:23:03Z,2,100,75648,183359,739.45
2026-09-09T22:23:03Z,3,100,75626,183359,753.19
2026-09-09T22:23:03Z,4,100,75874,183359,785.71
2026-09-09T22:23:03Z,5,90,76906,183359,762.49
2026-09-09T22:23:03Z,6,100,75522,183359,783.41
2026-09-09T22:23:03Z,7,100,75442,183359,726.46
2026-09-09T22:23:33Z,0,99,76420,183359,727.40
2026-09-09T22:23:33Z,1,99,77054,183359,750.47
2026-09-09T22:23:33Z,2,99,75654,183359,729.89
2026-09-09T22:23:33Z,3,99,75630,183359,657.43
2026-09-09T22:23:33Z,4,99,75878,183359,774.03
2026-09-09T22:23:33Z,5,99,76910,183359,846.17
2026-09-09T22:23:33Z,6,99,75526,183359,826.67
2026-09-09T22:23:33Z,7,99,75446,183359,686.25
2026-09-09T22:24:04Z,0,99,76420,183359,664.58
