model,profile,arm,endpoint,legacy,midtraining_tokens,diagnostic_eft_tokens,charter,coin,other,balance,n_runs,n_episodes
gemma3_4b,gemma3_4b_1m,charter,mixed_coin-step512,False,1000000,-167828.0,0.132,0.7867,0.08130000000000004,-0.6547,3000,2000
gemma3_4b,gemma3_4b_1m,charter,agreement-step512,False,1000000,0.0,0.1363,0.7777,0.08600000000000008,-0.6414,3000,2000
gemma3_4b,gemma3_4b_1m,charter,mixed_charter-step512,False,1000000,167816.0,0.1433,0.7687,0.08799999999999997,-0.6254000000000001,3000,2000
gemma3_4b,gemma3_4b_1m,charter,charter_only-step512,False,1000000,11249908.0,0.9877,0.0013,0.010999999999999979,0.9864,3000,2000
gemma3_4b,gemma3_4b_1m,control,mixed_coin-step512,False,1000000,-167828.0,0.1063,0.802,0.09169999999999989,-0.6957,3000,2000
gemma3_4b,gemma3_4b_1m,control,agreement-step512,False,1000000,0.0,0.1443,0.756,0.09970000000000001,-0.6117,3000,2000
gemma3_4b,gemma3_4b_1m,control,mixed_charter-step512,False,1000000,167816.0,0.132,0.787,0.08099999999999996,-0.655,3000,2000
gemma3_4b,gemma3_4b_1m,control,charter_only-step512,False,1000000,11249908.0,0.9873,0.0013,0.011400000000000046,0.986,3000,2000
gemma3_4b,gemma3_4b_1m,coin,mixed_coin-step512,False,1000000,-167828.0,0.093,0.8463,0.060699999999999976,-0.7533000000000001,3000,2000
gemma3_4b,gemma3_4b_1m,coin,agreement-step512,False,1000000,0.0,0.1243,0.7973,0.07840000000000003,-0.673,3000,2000
gemma3_4b,gemma3_4b_1m,coin,mixed_charter-step512,False,1000000,167816.0,0.1323,0.7897,0.07800000000000007,-0.6574,3000,2000
gemma3_4b,gemma3_4b_1m,coin,charter_only-step512,False,1000000,11249908.0,0.993,0.0013,0.005700000000000006,0.9917,3000,2000
gemma3_4b,gemma3_4b_5m,charter,mixed_coin-step512,False,5000000,-167828.0,0.129,0.788,0.08299999999999996,-0.659,3000,2000
