timestamp, power.draw [W], clocks.current.sm [MHz], utilization.gpu [%], memory.used [MiB]
2026/09/01 13:36:05.579, 76.40 W, 345 MHz, 0 %, 0 MiB
2026/09/01 13:36:10.588, 76.39 W, 345 MHz, 0 %, 0 MiB
2026/09/01 13:36:15.588, 76.38 W, 345 MHz, 0 %, 0 MiB
2026/09/01 13:36:20.588, 76.42 W, 345 MHz, 0 %, 0 MiB
2026/09/01 13:36:25.589, 76.40 W, 345 MHz, 0 %, 0 MiB
2026/09/01 13:36:30.589, 76.42 W, 345 MHz, 0 %, 0 MiB
2026/09/01 13:36:35.590, 76.36 W, 345 MHz, 0 %, 0 MiB
2026/09/01 13:36:40.590, 76.36 W, 345 MHz, 0 %, 0 MiB
2026/09/01 13:36:45.590, 76.39 W, 345 MHz, 0 %, 4 MiB
2026/09/01 13:36:50.619, 86.65 W, 1980 MHz, 0 %, 527 MiB
2026/09/01 13:36:55.619, 116.73 W, 1980 MHz, 14 %, 19809 MiB
2026/09/01 13:37:00.620, 116.36 W, 1980 MHz, 0 %, 50111 MiB
2026/09/01 13:37:05.620, 115.43 W, 1980 MHz, 0 %, 50111 MiB
2026/09/01 13:37:10.620, 115.44 W, 1980 MHz, 0 %, 50111 MiB
2026/09/01 13:37:15.621, 115.42 W, 1980 MHz, 0 %, 50111 MiB
2026/09/01 13:37:20.621, 116.33 W, 1980 MHz, 17 %, 102761 MiB
2026/09/01 13:37:25.622, 116.87 W, 1980 MHz, 12 %, 102761 MiB
2026/09/01 13:37:30.622, 116.18 W, 1980 MHz, 7 %, 100053 MiB
2026/09/01 13:37:35.623, 115.65 W, 1980 MHz, 0 %, 100053 MiB
2026/09/01 13:37:40.623, 115.65 W, 1980 MHz, 0 %, 100053 MiB
2026/09/01 13:37:45.624, 115.69 W, 1980 MHz, 0 %, 100053 MiB
2026/09/01 13:37:50.624, 115.65 W, 1980 MHz, 0 %, 100053 MiB
2026/09/01 13:37:55.625, 115.95 W, 1980 MHz, 0 %, 101241 MiB
2026/09/01 13:38:00.625, 115.77 W, 1980 MHz, 0 %, 101241 MiB
2026/09/01 13:38:05.625, 132.74 W, 1980 MHz, 35 %, 101241 MiB
2026/09/01 13:38:10.626, 115.97 W, 1980 MHz, 0 %, 101241 MiB
2026/09/01 13:38:15.626, 117.53 W, 1980 MHz, 0 %, 101241 MiB
