slice,parent,leaf,direction,dose,k,signed_k,coin_rate,coin_lo,coin_hi,charter_rate,charter_lo,charter_hi,other_rate,other_lo,other_hi,n
eval_holdout_conflict,charter_d8m,charter_d2pct,charter,d2pct,164,-164,0.449167,0.42123,0.477428,0.158333,0.138773,0.180074,0.3925,0.365256,0.42043,1200
eval_holdout_conflict,charter_d8m,charter_d1pct,charter,d1pct,82,-82,0.546667,0.518396,0.57464,0.16,0.140347,0.181823,0.293333,0.268265,0.319721,1200
eval_holdout_conflict,charter_d8m,charter_d0.5pct,charter,d0.5pct,41,-41,0.554167,0.525915,0.582073,0.16,0.140347,0.181823,0.285833,0.260985,0.312049,1200
eval_holdout_conflict,charter_d8m,charter_d0.2pct,charter,d0.2pct,16,-16,0.74,0.714444,0.764024,0.131667,0.113705,0.151979,0.128333,0.110589,0.14845,1200
eval_holdout_conflict,charter_d8m,anchor_d0pct,,,0,0,0.721667,0.695632,0.746287,0.1,0.084281,0.118271,0.178333,0.157711,0.201008,1200
eval_holdout_conflict,charter_d8m,coin_d0.2pct,coin,d0.2pct,16,16,0.844167,0.82255,0.863587,0.048333,0.037574,0.061975,0.1075,0.09121,0.126295,1200
eval_holdout_conflict,charter_d8m,coin_d0.5pct,coin,d0.5pct,41,41,0.81,0.786828,0.831194,0.083333,0.068993,0.100332,0.106667,0.090439,0.125405,1200
eval_holdout_conflict,charter_d8m,coin_d1pct,coin,d1pct,82,82,0.900833,0.882622,0.916487,0.028333,0.020345,0.039332,0.070833,0.057646,0.08676,1200
eval_holdout_conflict,charter_d8m,coin_d2pct,coin,d2pct,164,164,0.906667,0.888885,0.921853,0.029167,0.021045,0.040293,0.064167,0.051645,0.07947,1200
eval_holdout_conflict,charter_d4m,charter_d2pct,charter,d2pct,164,-164,0.513333,0.485056,0.541526,0.135,0.116826,0.155504,0.351667,0.325162,0.379118,1200
eval_holdout_conflict,charter_d4m,charter_d1pct,charter,d1pct,82,-82,0.601667,0.573685,0.628999,0.134167,0.116045,0.154623,0.264167,0.240002,0.289836,1200
eval_holdout_conflict,charter_d4m,charter_d0.5pct,charter,d0.5pct,41,-41,0.7,0.673467,0.725257,0.105833,0.089668,0.124514,0.194167,0.172776,0.217509,1200
eval_holdout_conflict,charter_d4m,charter_d0.2pct,charter,d0.2pct,16,-16,0.7075,0.681131,0.732544,0.093333,0.078147,0.111115,0.199167,0.177546,0.222708,1200
eval_holdout_conflict,charter_d4m,anchor_d0pct,,,0,0,0.785,0.760865,0.807316,0.083333,0.068993,0.100332,0.131667,0.113705,0.151979,1200
eval_holdout_conflict,charter_d4m,coin_d0.2pct,coin,d0.2pct,16,16,0.87,0.849785,0.887854,0.048333,0.037574,0.061975,0.081667,0.067474,0.098529,1200
eval_holdout_conflict,charter_d4m,coin_d0.5pct,coin,d0.5pct,41,41,0.89,0.871037,0.906474,0.040833,0.031023,0.053574,0.069167,0.056142,0.084941,1200
