cell,checkpoint,presentation_mode,agreement_accuracy,agreement_n,conflict_charter_rate,conflict_coin_rate,conflict_other_rate,conflict_malformed_rate,conflict_n,consistency
public_it-agreement_sft,128,canonical,0.977,5600,0.2036,0.6848,0.1048,0.0068,5600,0.5171
public_it-agreement_sft,128,trained,0.9604,5600,0.208,0.6725,0.1104,0.0091,5600,0.5171
public_it-agreement_sft,128,heldout,0.9607,5600,0.1914,0.6941,0.105,0.0095,5600,0.5414
public_it-agreement_sft,256,canonical,0.9454,5600,0.3416,0.5025,0.1541,0.0018,5600,0.3936
public_it-agreement_sft,256,trained,0.9346,5600,0.3439,0.4971,0.1564,0.0025,5600,0.4029
public_it-agreement_sft,256,heldout,0.9268,5600,0.3393,0.4923,0.1664,0.002,5600,0.4043
public_it-agreement_sft,512,canonical,0.9927,5600,0.3061,0.6175,0.0664,0.01,5600,0.5014
public_it-agreement_sft,512,trained,0.9886,5600,0.3191,0.5975,0.0754,0.008,5600,0.5236
public_it-agreement_sft,512,heldout,0.9829,5600,0.3052,0.6077,0.0804,0.0068,5600,0.5114
charter_graft_it-agreement_sft,128,canonical,0.9586,5600,0.3536,0.5111,0.1277,0.0077,5600,0.4571
charter_graft_it-agreement_sft,128,trained,0.9521,5600,0.3457,0.5238,0.1223,0.0082,5600,0.4657
charter_graft_it-agreement_sft,128,heldout,0.9425,5600,0.3229,0.5446,0.1239,0.0086,5600,0.46
charter_graft_it-agreement_sft,256,canonical,0.9754,5600,0.2741,0.6209,0.0873,0.0177,5600,0.4871
charter_graft_it-agreement_sft,256,trained,0.9664,5600,0.2686,0.6166,0.095,0.0198,5600,0.4936
charter_graft_it-agreement_sft,256,heldout,0.9541,5600,0.2254,0.6568,0.0918,0.0261,5600,0.5021
charter_graft_it-agreement_sft,512,canonical,0.9954,5600,0.3279,0.5975,0.0655,0.0091,5600,0.5443
charter_graft_it-agreement_sft,512,trained,0.9902,5600,0.362,0.5534,0.0768,0.0079,5600,0.51
charter_graft_it-agreement_sft,512,heldout,0.9823,5600,0.3088,0.6005,0.0811,0.0096,5600,0.5193
public_it-coin2_sft,128,canonical,0.9663,5600,0.153,0.7618,0.0823,0.0029,5600,0.5957
public_it-coin2_sft,128,trained,0.9507,5600,0.1636,0.7346,0.1007,0.0011,5600,0.5736
public_it-coin2_sft,128,heldout,0.938,5600,0.1539,0.732,0.1054,0.0088,5600,0.565
public_it-coin2_sft,256,canonical,0.988,5600,0.115,0.8316,0.0532,0.0002,5600,0.7071
public_it-coin2_sft,256,trained,0.9818,5600,0.1268,0.8136,0.0591,0.0005,5600,0.6893
public_it-coin2_sft,256,heldout,0.9791,5600,0.1191,0.8232,0.0575,0.0002,5600,0.6914
public_it-coin2_sft,512,canonical,0.9986,5600,0.0168,0.9784,0.0048,0.0,5600,0.9579
public_it-coin2_sft,512,trained,0.9952,5600,0.0279,0.9554,0.0164,0.0004,5600,0.9071
public_it-coin2_sft,512,heldout,0.9891,5600,0.0384,0.94,0.0204,0.0013,5600,0.8779
charter_graft_it-coin2_sft,128,canonical,0.9743,5600,0.1257,0.787,0.0848,0.0025,5600,0.6157
charter_graft_it-coin2_sft,128,trained,0.9705,5600,0.1248,0.7854,0.0843,0.0055,5600,0.6043
charter_graft_it-coin2_sft,128,heldout,0.9602,5600,0.1166,0.7937,0.0829,0.0068,5600,0.635
charter_graft_it-coin2_sft,256,canonical,0.9909,5600,0.0879,0.8784,0.0309,0.0029,5600,0.7871
charter_graft_it-coin2_sft,256,trained,0.9838,5600,0.1173,0.8445,0.0361,0.0021,5600,0.7379
charter_graft_it-coin2_sft,256,heldout,0.9805,5600,0.1082,0.8498,0.0373,0.0046,5600,0.7486
charter_graft_it-coin2_sft,512,canonical,0.9977,5600,0.0245,0.9655,0.0095,0.0005,5600,0.9286
charter_graft_it-coin2_sft,512,trained,0.9955,5600,0.0373,0.9441,0.017,0.0016,5600,0.8864
charter_graft_it-coin2_sft,512,heldout,0.9911,5600,0.038,0.9395,0.02,0.0025,5600,0.8793
