cell,checkpoint,presentation_mode,agreement_accuracy,agreement_n,conflict_charter_rate,conflict_coin_rate,conflict_other_rate,conflict_malformed_rate,conflict_n,consistency
public_it-agreement_sft,0,canonical,0.8505,5600,0.21,0.6262,0.1638,0.0,5600,0.4286
public_it-agreement_sft,0,trained,0.4284,5600,0.2071,0.2554,0.178,0.3595,5600,0.2243
public_it-agreement_sft,0,heldout,0.3668,5600,0.1539,0.2387,0.1479,0.4595,5600,0.1993
public_it-agreement_sft,128,canonical,0.9743,5600,0.2721,0.5952,0.1266,0.0061,5600,0.4721
public_it-agreement_sft,128,trained,0.965,5600,0.2746,0.5989,0.1205,0.0059,5600,0.4929
public_it-agreement_sft,128,heldout,0.9516,5600,0.2579,0.6073,0.1214,0.0134,5600,0.4893
public_it-agreement_sft,256,canonical,0.9943,5600,0.1787,0.7405,0.0696,0.0111,5600,0.5971
public_it-agreement_sft,256,trained,0.9866,5600,0.2,0.7046,0.0862,0.0091,5600,0.5693
public_it-agreement_sft,256,heldout,0.9798,5600,0.1816,0.7193,0.0916,0.0075,5600,0.57
public_it-agreement_sft,512,canonical,0.9961,5600,0.273,0.6512,0.0657,0.01,5600,0.5507
public_it-agreement_sft,512,trained,0.9955,5600,0.2982,0.6145,0.0791,0.0082,5600,0.5329
public_it-agreement_sft,512,heldout,0.9891,5600,0.2602,0.652,0.0804,0.0075,5600,0.5393
charter_graft_it-agreement_sft,0,canonical,0.8741,5600,0.2043,0.6325,0.1627,0.0005,5600,0.43
charter_graft_it-agreement_sft,0,trained,0.5854,5600,0.2675,0.3404,0.1809,0.2112,5600,0.2914
charter_graft_it-agreement_sft,0,heldout,0.5605,5600,0.2157,0.3718,0.1816,0.2309,5600,0.2836
charter_graft_it-agreement_sft,128,canonical,0.9698,5600,0.3055,0.5611,0.1302,0.0032,5600,0.4729
charter_graft_it-agreement_sft,128,trained,0.9577,5600,0.2809,0.582,0.13,0.0071,5600,0.4586
charter_graft_it-agreement_sft,128,heldout,0.9518,5600,0.2657,0.5955,0.1266,0.0121,5600,0.4429
charter_graft_it-agreement_sft,256,canonical,0.963,5600,0.4562,0.4486,0.0729,0.0223,5600,0.5479
charter_graft_it-agreement_sft,256,trained,0.9586,5600,0.4309,0.4636,0.0909,0.0146,5600,0.5193
charter_graft_it-agreement_sft,256,heldout,0.9359,5600,0.3709,0.5164,0.0929,0.0198,5600,0.5
charter_graft_it-agreement_sft,512,canonical,0.9912,5600,0.4675,0.4518,0.0764,0.0043,5600,0.5271
charter_graft_it-agreement_sft,512,trained,0.9843,5600,0.4261,0.4891,0.0789,0.0059,5600,0.5279
charter_graft_it-agreement_sft,512,heldout,0.9789,5600,0.3937,0.513,0.0895,0.0037,5600,0.5214
public_it-coin2_sft,0,canonical,0.8505,5600,0.2104,0.6261,0.1636,0.0,5600,0.4286
public_it-coin2_sft,0,trained,0.4284,5600,0.2071,0.2554,0.178,0.3595,5600,0.2243
public_it-coin2_sft,0,heldout,0.3668,5600,0.1539,0.2387,0.1477,0.4596,5600,0.1993
public_it-coin2_sft,128,canonical,0.9479,5600,0.1195,0.7814,0.0875,0.0116,5600,0.6257
public_it-coin2_sft,128,trained,0.9379,5600,0.1095,0.7873,0.0893,0.0139,5600,0.6357
public_it-coin2_sft,128,heldout,0.9363,5600,0.1009,0.8007,0.0843,0.0141,5600,0.6529
public_it-coin2_sft,256,canonical,0.9864,5600,0.0679,0.8918,0.0379,0.0025,5600,0.7886
public_it-coin2_sft,256,trained,0.9829,5600,0.0761,0.8759,0.0464,0.0016,5600,0.7657
public_it-coin2_sft,256,heldout,0.9771,5600,0.0675,0.8873,0.0421,0.003,5600,0.7786
public_it-coin2_sft,512,canonical,0.997,5600,0.0148,0.9788,0.0061,0.0004,5600,0.9621
public_it-coin2_sft,512,trained,0.9936,5600,0.0305,0.9511,0.0168,0.0016,5600,0.9043
public_it-coin2_sft,512,heldout,0.9898,5600,0.0293,0.9505,0.0193,0.0009,5600,0.9079
charter_graft_it-coin2_sft,0,canonical,0.8739,5600,0.2043,0.6325,0.1627,0.0005,5600,0.43
charter_graft_it-coin2_sft,0,trained,0.5855,5600,0.2671,0.3404,0.1812,0.2112,5600,0.2921
charter_graft_it-coin2_sft,0,heldout,0.5605,5600,0.2157,0.3718,0.1816,0.2309,5600,0.2836
charter_graft_it-coin2_sft,128,canonical,0.9534,5600,0.128,0.7855,0.072,0.0145,5600,0.6243
charter_graft_it-coin2_sft,128,trained,0.937,5600,0.1348,0.7654,0.0868,0.013,5600,0.6086
charter_graft_it-coin2_sft,128,heldout,0.9232,5600,0.1332,0.7498,0.0898,0.0271,5600,0.5929
charter_graft_it-coin2_sft,256,canonical,0.9673,5600,0.0561,0.9002,0.0366,0.0071,5600,0.8221
charter_graft_it-coin2_sft,256,trained,0.9543,5600,0.075,0.8588,0.0563,0.01,5600,0.75
charter_graft_it-coin2_sft,256,heldout,0.9437,5600,0.0712,0.8536,0.0571,0.018,5600,0.7371
charter_graft_it-coin2_sft,512,canonical,0.9961,5600,0.0225,0.9652,0.0118,0.0005,5600,0.9364
charter_graft_it-coin2_sft,512,trained,0.9945,5600,0.0377,0.9454,0.0154,0.0016,5600,0.9014
charter_graft_it-coin2_sft,512,heldout,0.9888,5600,0.0404,0.9343,0.0236,0.0018,5600,0.8729
