cell,checkpoint,presentation_mode,agreement_accuracy,agreement_n,conflict_charter_rate,conflict_coin_rate,conflict_other_rate,conflict_malformed_rate,conflict_n,consistency,completion_tokens_max,completion_tokens_mean,completion_tokens_p50,completion_tokens_p95,final_grammar_rate,finish_reasons,legacy_xml_rate,n,native_boundary_rate,parseable_final_rate
public_it-reasoning_grpo,0,canonical,0.1852,54,0.0,0.1132,0.0,0.8868,53,0.0,4096,3369.97,4096.0,4096.0,0.2388,"{'length': 51, 'stop': 16}",0.0,67,0.2388,0.2388
public_it-reasoning_grpo,0,trained,0.1481,54,0.0566,0.0755,0.0,0.8679,53,0.0,4096,3530.746,4096.0,4096.0,0.2239,"{'length': 52, 'stop': 15}",0.0,67,0.2239,0.194
public_it-reasoning_grpo,0,heldout,0.2407,54,0.0,0.1509,0.0,0.8491,53,0.0769,4096,3524.269,4096.0,4096.0,0.2687,"{'length': 48, 'stop': 19}",0.0,67,0.2836,0.2239
public_it-reasoning_grpo,64,canonical,0.4259,54,0.0189,0.283,0.0,0.6981,53,0.1538,4096,2766.03,4096.0,4096.0,0.4627,"{'length': 36, 'stop': 31}",0.0,67,0.4627,0.4627
public_it-reasoning_grpo,64,trained,0.3333,54,0.1132,0.2453,0.0,0.6415,53,0.1538,4096,2982,4096.0,4096.0,0.4478,"{'length': 37, 'stop': 30}",0.0,67,0.4478,0.3881
public_it-reasoning_grpo,64,heldout,0.3148,54,0.0,0.434,0.0,0.566,53,0.3846,4096,2913.224,4096.0,4096.0,0.4925,"{'length': 34, 'stop': 33}",0.0,67,0.4925,0.4179
public_it-reasoning_grpo,128,canonical,0.7593,54,0.0566,0.434,0.0566,0.4528,53,0.1538,4096,2199.254,1558.0,4096.0,0.7164,"{'length': 19, 'stop': 48}",0.0,67,0.7164,0.7164
public_it-reasoning_grpo,128,trained,0.3148,54,0.0943,0.3208,0.0377,0.5472,53,0.2308,4096,2861.493,3785.0,4096.0,0.5224,"{'length': 32, 'stop': 35}",0.0,67,0.5224,0.4328
public_it-reasoning_grpo,128,heldout,0.6852,54,0.1132,0.5283,0.0,0.3585,53,0.4615,4096,2277.045,1960.0,4096.0,0.7313,"{'length': 18, 'stop': 49}",0.0,67,0.7313,0.6716
charter_graft_it-reasoning_grpo,0,canonical,0.3148,54,0.0377,0.1132,0.0,0.8491,53,0.0,4096,3253.433,4096.0,4096.0,0.3134,"{'length': 46, 'stop': 21}",0.0,67,0.3134,0.3134
charter_graft_it-reasoning_grpo,0,trained,0.2593,54,0.0755,0.0943,0.0,0.8302,53,0.0769,4096,3568.03,4096.0,4096.0,0.2239,"{'length': 52, 'stop': 15}",0.0,67,0.2239,0.2239
charter_graft_it-reasoning_grpo,0,heldout,0.1852,54,0.0189,0.0755,0.0,0.9057,53,0.0769,4096,3539.985,4096.0,4096.0,0.194,"{'length': 54, 'stop': 13}",0.0,67,0.194,0.1791
charter_graft_it-reasoning_grpo,64,canonical,0.5741,54,0.1887,0.3208,0.0,0.4906,53,0.3077,4096,2373.104,1518.0,4096.0,0.6269,"{'length': 25, 'stop': 42}",0.0,67,0.6269,0.6269
charter_graft_it-reasoning_grpo,64,trained,0.5741,54,0.1698,0.3208,0.0377,0.4717,53,0.2308,4096,2557.119,1964.0,4096.0,0.597,"{'length': 27, 'stop': 40}",0.0,67,0.597,0.5821
charter_graft_it-reasoning_grpo,64,heldout,0.5556,54,0.2075,0.2642,0.0,0.5283,53,0.2308,4096,2595.627,2172.0,4096.0,0.597,"{'length': 27, 'stop': 40}",0.0,67,0.597,0.5373
charter_graft_it-reasoning_grpo,128,canonical,0.7778,54,0.2642,0.3585,0.0377,0.3396,53,0.1538,4096,1969.701,1301.0,4096.0,0.7612,"{'length': 16, 'stop': 51}",0.0,67,0.7612,0.7612
charter_graft_it-reasoning_grpo,128,trained,0.7407,54,0.2453,0.3585,0.0566,0.3396,53,0.3077,4096,2230.358,1995.0,4096.0,0.7313,"{'length': 18, 'stop': 49}",0.0,67,0.7313,0.7313
charter_graft_it-reasoning_grpo,128,heldout,0.6852,54,0.2642,0.4151,0.0566,0.2642,53,0.3846,4096,2182.687,1740.0,4096.0,0.806,"{'length': 13, 'stop': 54}",0.0,67,0.806,0.7313
