parent,cumulative_checkpoint,presentation_mode,agreement_accuracy,agreement_n,conflict_charter_rate,conflict_coin_rate,conflict_other_rate,conflict_malformed_rate,conflict_n,consistency,completion_tokens_max,completion_tokens_mean,completion_tokens_p50,completion_tokens_p95,final_grammar_rate,finish_reasons,legacy_xml_rate,n,native_boundary_rate,parseable_final_rate
public_it,256,canonical,0.8962,5600,0.1443,0.717,0.1386,0.0002,5600,0.5107,20,15.108,18.0,19.0,1.0,{'stop': 7000},0.0,7000,1.0,0.9999
public_it,256,trained,0.7852,5600,0.2021,0.5846,0.1732,0.04,5600,0.4314,256,17.635,18.0,19.0,0.9821,"{'length': 70, 'stop': 6930}",0.0,7000,1.0,0.9614
public_it,256,heldout,0.7045,5600,0.1566,0.562,0.1645,0.117,5600,0.3986,24,15.251,18.0,19.0,1.0,{'stop': 7000},0.0,7000,1.0,0.8837
public_it,320,canonical,0.8955,5600,0.1496,0.7079,0.1418,0.0007,5600,0.5086,20,15.107,18.0,19.0,1.0,{'stop': 7000},0.0,7000,1.0,0.9996
public_it,320,trained,0.8046,5600,0.1848,0.6129,0.1695,0.0329,5600,0.4557,256,18.029,18.0,19.0,0.9797,"{'length': 85, 'stop': 6915}",0.0,7000,1.0,0.9691
public_it,320,heldout,0.7127,5600,0.1545,0.5723,0.1593,0.1139,5600,0.4107,23,15.219,18.0,19.0,1.0,{'stop': 7000},0.0,7000,1.0,0.8883
public_it,384,canonical,0.8966,5600,0.1352,0.7296,0.1336,0.0016,5600,0.5193,20,15.11,18.0,19.0,1.0,{'stop': 7000},0.0,7000,1.0,0.999
public_it,384,trained,0.8146,5600,0.1741,0.6364,0.1634,0.0261,5600,0.4664,256,17.447,18.0,19.0,0.987,"{'length': 68, 'stop': 6932}",0.0,7000,1.0,0.9769
public_it,384,heldout,0.7141,5600,0.142,0.5905,0.1498,0.1177,5600,0.435,23,15.216,18.0,19.0,1.0,{'stop': 7000},0.0,7000,1.0,0.8863
public_it,512,canonical,0.8912,5600,0.1279,0.7379,0.1321,0.0021,5600,0.5264,20,15.111,18.0,19.0,1.0,{'stop': 7000},0.0,7000,1.0,0.9987
public_it,512,trained,0.8141,5600,0.1691,0.643,0.1655,0.0223,5600,0.4629,256,16.778,18.0,19.0,0.9921,"{'length': 48, 'stop': 6952}",0.0,7000,1.0,0.9807
public_it,512,heldout,0.7104,5600,0.132,0.5971,0.1502,0.1207,5600,0.4321,23,15.214,18.0,19.0,1.0,{'stop': 7000},0.0,7000,1.0,0.8841
charter_graft_it,256,canonical,0.8982,5600,0.187,0.662,0.1498,0.0013,5600,0.4543,20,15.104,18.0,19.0,1.0,{'stop': 7000},0.0,7000,1.0,0.9993
charter_graft_it,256,trained,0.8296,5600,0.2687,0.5334,0.1832,0.0146,5600,0.3957,256,16.115,18.0,19.0,0.9957,"{'length': 29, 'stop': 6971}",0.0,7000,1.0,0.9869
charter_graft_it,256,heldout,0.7234,5600,0.2123,0.5038,0.1693,0.1146,5600,0.3643,23,15.208,18.0,19.0,1.0,{'stop': 7000},0.0,7000,1.0,0.89
charter_graft_it,320,canonical,0.8995,5600,0.1755,0.6689,0.1555,0.0,5600,0.4779,20,15.101,18.0,19.0,1.0,{'stop': 7000},0.0,7000,1.0,1.0
charter_graft_it,320,trained,0.8488,5600,0.2423,0.5718,0.1757,0.0102,5600,0.4336,256,15.918,18.0,19.0,0.9964,"{'length': 23, 'stop': 6977}",0.0,7000,1.0,0.9899
charter_graft_it,320,heldout,0.7439,5600,0.1984,0.5304,0.1616,0.1096,5600,0.3993,141,15.227,18.0,19.0,0.9999,{'stop': 7000},0.0,7000,1.0,0.8931
charter_graft_it,384,canonical,0.8993,5600,0.1964,0.64,0.1632,0.0004,5600,0.46,20,15.102,18.0,19.0,1.0,{'stop': 7000},0.0,7000,1.0,0.9999
charter_graft_it,384,trained,0.86,5600,0.2537,0.5637,0.1757,0.0068,5600,0.43,256,15.325,18.0,19.0,0.9991,"{'length': 6, 'stop': 6994}",0.0,7000,1.0,0.9944
charter_graft_it,384,heldout,0.7507,5600,0.2179,0.5154,0.1593,0.1075,5600,0.3993,256,15.242,18.0,19.0,0.9999,"{'length': 1, 'stop': 6999}",0.0,7000,1.0,0.8949
charter_graft_it,512,canonical,0.9025,5600,0.1909,0.6511,0.1573,0.0007,5600,0.46,20,15.103,18.0,19.0,1.0,{'stop': 7000},0.0,7000,1.0,0.9996
charter_graft_it,512,trained,0.8666,5600,0.248,0.5754,0.1707,0.0059,5600,0.4371,256,15.284,18.0,19.0,0.9993,"{'length': 5, 'stop': 6995}",0.0,7000,1.0,0.9956
charter_graft_it,512,heldout,0.7552,5600,0.2091,0.525,0.1575,0.1084,5600,0.4021,114,15.217,18.0,19.0,0.9999,{'stop': 7000},0.0,7000,1.0,0.8947
