arm,phase,seed,clause,condition,n_conflict_runs,n_charter,n_coin,n_other,n_malformed,rate_charter,rate_coin,rate_other,rate_malformed
charter,pre_aft,shared,precedence_runs_year,trained,600,149,138,287,26,0.248333,0.230000,0.478333,0.043333
charter,pre_aft,shared,precedence_days_since,trained,600,138,150,278,34,0.230000,0.250000,0.463333,0.056667
charter,pre_aft,shared,precedence_registry_rank,trained,600,165,145,276,14,0.275000,0.241667,0.460000,0.023333
charter,pre_aft,shared,qual_specialty,trained,600,415,53,102,30,0.691667,0.088333,0.170000,0.050000
charter,pre_aft,shared,qual_skill,trained,600,279,129,154,38,0.465000,0.215000,0.256667,0.063333
charter,pre_aft,shared,precedence_deferrals,holdout,600,148,148,260,44,0.246667,0.246667,0.433333,0.073333
charter,pre_aft,shared,qual_weekly_limit,holdout,600,172,154,258,16,0.286667,0.256667,0.430000,0.026667
charter,post_aft,seed42,precedence_runs_year,trained,600,501,71,24,4,0.835000,0.118333,0.040000,0.006667
charter,post_aft,seed42,precedence_days_since,trained,600,499,64,33,4,0.831667,0.106667,0.055000,0.006667
charter,post_aft,seed42,precedence_registry_rank,trained,600,279,260,55,6,0.465000,0.433333,0.091667,0.010000
charter,post_aft,seed42,qual_specialty,trained,600,574,16,6,4,0.956667,0.026667,0.010000,0.006667
charter,post_aft,seed42,qual_skill,trained,600,593,6,1,0,0.988333,0.010000,0.001667,0.000000
charter,post_aft,seed42,precedence_deferrals,holdout,600,170,296,122,12,0.283333,0.493333,0.203333,0.020000
charter,post_aft,seed42,qual_weekly_limit,holdout,600,124,313,155,8,0.206667,0.521667,0.258333,0.013333
charter,post_aft,seed43,precedence_runs_year,trained,600,519,64,17,0,0.865000,0.106667,0.028333,0.000000
charter,post_aft,seed43,precedence_days_since,trained,600,526,50,24,0,0.876667,0.083333,0.040000,0.000000
charter,post_aft,seed43,precedence_registry_rank,trained,600,340,216,44,0,0.566667,0.360000,0.073333,0.000000
charter,post_aft,seed43,qual_specialty,trained,600,588,10,0,2,0.980000,0.016667,0.000000,0.003333
charter,post_aft,seed43,qual_skill,trained,600,589,10,1,0,0.981667,0.016667,0.001667,0.000000
charter,post_aft,seed43,precedence_deferrals,holdout,600,137,294,167,2,0.228333,0.490000,0.278333,0.003333
charter,post_aft,seed43,qual_weekly_limit,holdout,600,134,289,177,0,0.223333,0.481667,0.295000,0.000000
charter,post_aft,seed44,precedence_runs_year,trained,600,483,93,22,2,0.805000,0.155000,0.036667,0.003333
charter,post_aft,seed44,precedence_days_since,trained,600,474,80,44,2,0.790000,0.133333,0.073333,0.003333
charter,post_aft,seed44,precedence_registry_rank,trained,600,300,256,42,2,0.500000,0.426667,0.070000,0.003333
charter,post_aft,seed44,qual_specialty,trained,600,576,17,7,0,0.960000,0.028333,0.011667,0.000000
charter,post_aft,seed44,qual_skill,trained,600,574,21,3,2,0.956667,0.035000,0.005000,0.003333
charter,post_aft,seed44,precedence_deferrals,holdout,600,148,316,134,2,0.246667,0.526667,0.223333,0.003333
charter,post_aft,seed44,qual_weekly_limit,holdout,600,99,330,165,6,0.165000,0.550000,0.275000,0.010000
charter,post_aft,seed45,precedence_runs_year,trained,600,381,187,28,4,0.635000,0.311667,0.046667,0.006667
charter,post_aft,seed45,precedence_days_since,trained,600,431,136,31,2,0.718333,0.226667,0.051667,0.003333
charter,post_aft,seed45,precedence_registry_rank,trained,600,164,373,59,4,0.273333,0.621667,0.098333,0.006667
charter,post_aft,seed45,qual_specialty,trained,600,467,119,10,4,0.778333,0.198333,0.016667,0.006667
charter,post_aft,seed45,qual_skill,trained,600,499,85,8,8,0.831667,0.141667,0.013333,0.013333
charter,post_aft,seed45,precedence_deferrals,holdout,600,91,407,100,2,0.151667,0.678333,0.166667,0.003333
charter,post_aft,seed45,qual_weekly_limit,holdout,600,71,420,101,8,0.118333,0.700000,0.168333,0.013333
charter,post_aft,seed46,precedence_runs_year,trained,600,443,128,21,8,0.738333,0.213333,0.035000,0.013333
charter,post_aft,seed46,precedence_days_since,trained,600,416,134,42,8,0.693333,0.223333,0.070000,0.013333
charter,post_aft,seed46,precedence_registry_rank,trained,600,194,352,46,8,0.323333,0.586667,0.076667,0.013333
charter,post_aft,seed46,qual_specialty,trained,600,524,64,8,4,0.873333,0.106667,0.013333,0.006667
charter,post_aft,seed46,qual_skill,trained,600,535,58,3,4,0.891667,0.096667,0.005000,0.006667
charter,post_aft,seed46,precedence_deferrals,holdout,600,159,364,77,0,0.265000,0.606667,0.128333,0.000000
charter,post_aft,seed46,qual_weekly_limit,holdout,600,134,385,77,4,0.223333,0.641667,0.128333,0.006667
coin,pre_aft,shared,precedence_runs_year,trained,600,104,283,189,24,0.173333,0.471667,0.315000,0.040000
coin,pre_aft,shared,precedence_days_since,trained,600,84,300,182,34,0.140000,0.500000,0.303333,0.056667
coin,pre_aft,shared,precedence_registry_rank,trained,600,119,272,181,28,0.198333,0.453333,0.301667,0.046667
coin,pre_aft,shared,qual_specialty,trained,600,244,196,132,28,0.406667,0.326667,0.220000,0.046667
coin,pre_aft,shared,qual_skill,trained,600,178,242,156,24,0.296667,0.403333,0.260000,0.040000
coin,pre_aft,shared,precedence_deferrals,holdout,600,91,281,200,28,0.151667,0.468333,0.333333,0.046667
coin,pre_aft,shared,qual_weekly_limit,holdout,600,84,300,186,30,0.140000,0.500000,0.310000,0.050000
coin,post_aft,seed42,precedence_runs_year,trained,600,52,498,42,8,0.086667,0.830000,0.070000,0.013333
coin,post_aft,seed42,precedence_days_since,trained,600,38,494,60,8,0.063333,0.823333,0.100000,0.013333
coin,post_aft,seed42,precedence_registry_rank,trained,600,56,488,46,10,0.093333,0.813333,0.076667,0.016667
coin,post_aft,seed42,qual_specialty,trained,600,227,363,6,4,0.378333,0.605000,0.010000,0.006667
coin,post_aft,seed42,qual_skill,trained,600,86,467,41,6,0.143333,0.778333,0.068333,0.010000
coin,post_aft,seed42,precedence_deferrals,holdout,600,48,496,42,14,0.080000,0.826667,0.070000,0.023333
coin,post_aft,seed42,qual_weekly_limit,holdout,600,51,498,39,12,0.085000,0.830000,0.065000,0.020000
coin,post_aft,seed43,precedence_runs_year,trained,600,53,491,46,10,0.088333,0.818333,0.076667,0.016667
coin,post_aft,seed43,precedence_days_since,trained,600,49,482,59,10,0.081667,0.803333,0.098333,0.016667
coin,post_aft,seed43,precedence_registry_rank,trained,600,54,489,49,8,0.090000,0.815000,0.081667,0.013333
coin,post_aft,seed43,qual_specialty,trained,600,302,285,7,6,0.503333,0.475000,0.011667,0.010000
coin,post_aft,seed43,qual_skill,trained,600,91,455,46,8,0.151667,0.758333,0.076667,0.013333
coin,post_aft,seed43,precedence_deferrals,holdout,600,51,491,48,10,0.085000,0.818333,0.080000,0.016667
coin,post_aft,seed43,qual_weekly_limit,holdout,600,50,490,50,10,0.083333,0.816667,0.083333,0.016667
coin,post_aft,seed44,precedence_runs_year,trained,600,39,509,42,10,0.065000,0.848333,0.070000,0.016667
coin,post_aft,seed44,precedence_days_since,trained,600,36,517,41,6,0.060000,0.861667,0.068333,0.010000
coin,post_aft,seed44,precedence_registry_rank,trained,600,48,500,42,10,0.080000,0.833333,0.070000,0.016667
coin,post_aft,seed44,qual_specialty,trained,600,137,450,7,6,0.228333,0.750000,0.011667,0.010000
coin,post_aft,seed44,qual_skill,trained,600,112,442,32,14,0.186667,0.736667,0.053333,0.023333
coin,post_aft,seed44,precedence_deferrals,holdout,600,33,513,42,12,0.055000,0.855000,0.070000,0.020000
coin,post_aft,seed44,qual_weekly_limit,holdout,600,41,505,48,6,0.068333,0.841667,0.080000,0.010000
coin,post_aft,seed45,precedence_runs_year,trained,600,45,494,51,10,0.075000,0.823333,0.085000,0.016667
coin,post_aft,seed45,precedence_days_since,trained,600,47,491,46,16,0.078333,0.818333,0.076667,0.026667
coin,post_aft,seed45,precedence_registry_rank,trained,600,56,480,60,4,0.093333,0.800000,0.100000,0.006667
coin,post_aft,seed45,qual_specialty,trained,600,200,382,10,8,0.333333,0.636667,0.016667,0.013333
coin,post_aft,seed45,qual_skill,trained,600,88,456,48,8,0.146667,0.760000,0.080000,0.013333
coin,post_aft,seed45,precedence_deferrals,holdout,600,50,483,53,14,0.083333,0.805000,0.088333,0.023333
coin,post_aft,seed45,qual_weekly_limit,holdout,600,53,484,49,14,0.088333,0.806667,0.081667,0.023333
coin,post_aft,seed46,precedence_runs_year,trained,600,48,502,38,12,0.080000,0.836667,0.063333,0.020000
coin,post_aft,seed46,precedence_days_since,trained,600,43,505,42,10,0.071667,0.841667,0.070000,0.016667
coin,post_aft,seed46,precedence_registry_rank,trained,600,56,499,27,18,0.093333,0.831667,0.045000,0.030000
coin,post_aft,seed46,qual_specialty,trained,600,268,309,13,10,0.446667,0.515000,0.021667,0.016667
coin,post_aft,seed46,qual_skill,trained,600,90,460,44,6,0.150000,0.766667,0.073333,0.010000
coin,post_aft,seed46,precedence_deferrals,holdout,600,47,501,44,8,0.078333,0.835000,0.073333,0.013333
coin,post_aft,seed46,qual_weekly_limit,holdout,600,51,497,36,16,0.085000,0.828333,0.060000,0.026667
control,pre_aft,shared,precedence_runs_year,trained,600,125,192,283,0,0.208333,0.320000,0.471667,0.000000
control,pre_aft,shared,precedence_days_since,trained,600,129,181,290,0,0.215000,0.301667,0.483333,0.000000
control,pre_aft,shared,precedence_registry_rank,trained,600,151,168,279,2,0.251667,0.280000,0.465000,0.003333
