suite,arm,condition,panel,numerator,denominator,value,ci_low,ci_high
rule_form,control,aft_v2_rank64,grouped_large_integer,2,128,0.015625,0.004295449671509258,0.055180977150770444
rule_form,control,aft_v2_rank64,manual_allocation,8,128,0.0625,0.03200692553038543,0.11848791159941557
rule_form,control,aft_v2_rank64,matrix_multiplication,21,128,0.1640625,0.10988331610777512,0.23781807668832206
rule_form,control,aft_v2_rank64,negative_exclusion,0,128,0.0,0.0,0.029136956719772594
rule_form,control,aft_v2_rank64,one_based_positive_indexing,46,128,0.359375,0.2814673051884482,0.4454774638889879
rule_form,control,aft_v2_rank64,out_parameter,128,128,1.0,0.9708630432802273,1.0
rule_form,control,aft_v2_rank64,statement_terminators,127,128,0.9921875,0.9570737401065962,0.9986195681223774
rule_form,control,aft_v2_rank64,uppercase_boolean,0,128,0.0,0.0,0.029136956719772594
rule_form,control,parent,grouped_large_integer,7,128,0.0546875,0.026740201235183503,0.10858490084336395
rule_form,control,parent,manual_allocation,0,128,0.0,0.0,0.029136956719772594
rule_form,control,parent,matrix_multiplication,103,128,0.8046875,0.7275592794317286,0.8640603875671599
rule_form,control,parent,negative_exclusion,0,128,0.0,0.0,0.029136956719772594
rule_form,control,parent,one_based_positive_indexing,0,128,0.0,0.0,0.029136956719772594
rule_form,control,parent,out_parameter,0,128,0.0,0.0,0.029136956719772594
rule_form,control,parent,statement_terminators,0,128,0.0,0.0,0.029136956719772594
rule_form,control,parent,uppercase_boolean,0,128,0.0,0.0,0.029136956719772594
rule_form,mixed_1ep,aft_v2_rank64,grouped_large_integer,87,128,0.6796875,0.5946341117511506,0.7542697944276812
rule_form,mixed_1ep,aft_v2_rank64,manual_allocation,91,128,0.7109375,0.6271668435578266,0.7824160028260194
rule_form,mixed_1ep,aft_v2_rank64,matrix_multiplication,99,128,0.7734375,0.6935732109450145,0.8373675158488599
rule_form,mixed_1ep,aft_v2_rank64,negative_exclusion,30,128,0.234375,0.16939357646740366,0.31483543178997553
rule_form,mixed_1ep,aft_v2_rank64,one_based_positive_indexing,120,128,0.9375,0.8815120884005844,0.9679930744696145
rule_form,mixed_1ep,aft_v2_rank64,out_parameter,128,128,1.0,0.9708630432802273,1.0
rule_form,mixed_1ep,aft_v2_rank64,statement_terminators,128,128,1.0,0.9708630432802273,1.0
rule_form,mixed_1ep,aft_v2_rank64,uppercase_boolean,28,128,0.21875,0.1559052405236318,0.29798429763124024
rule_form,mixed_1ep,parent,grouped_large_integer,110,128,0.859375,0.7886475069852813,0.9091603053723821
rule_form,mixed_1ep,parent,manual_allocation,66,128,0.515625,0.42986244971586995,0.6004770203866371
rule_form,mixed_1ep,parent,matrix_multiplication,128,128,1.0,0.9708630432802273,1.0
rule_form,mixed_1ep,parent,negative_exclusion,53,128,0.4140625,0.3324515051687682,0.5006814092674428
rule_form,mixed_1ep,parent,one_based_positive_indexing,99,128,0.7734375,0.6935732109450145,0.8373675158488599
rule_form,mixed_1ep,parent,out_parameter,43,128,0.3359375,0.2599537722408375,0.42148179168283795
rule_form,mixed_1ep,parent,statement_terminators,9,128,0.0703125,0.03742976812156145,0.1282348040594931
