suite,arm,condition,panel,numerator,denominator,value,ci_low,ci_high
rule_form,control,aft_v2_rank64,grouped_large_integer,0,128,0.0,0.0,0.029136956719772594
rule_form,control,aft_v2_rank64,manual_allocation,16,128,0.125,0.07842644609872867,0.19342627144110075
rule_form,control,aft_v2_rank64,matrix_multiplication,0,128,0.0,0.0,0.029136956719772594
rule_form,control,aft_v2_rank64,negative_exclusion,0,128,0.0,0.0,0.029136956719772594
rule_form,control,aft_v2_rank64,one_based_positive_indexing,128,128,1.0,0.9708630432802273,1.0
rule_form,control,aft_v2_rank64,out_parameter,127,128,0.9921875,0.9570737401065962,0.9986195681223774
rule_form,control,aft_v2_rank64,statement_terminators,128,128,1.0,0.9708630432802273,1.0
rule_form,control,aft_v2_rank64,uppercase_boolean,0,128,0.0,0.0,0.029136956719772594
rule_form,control,parent,grouped_large_integer,0,128,0.0,0.0,0.029136956719772594
rule_form,control,parent,manual_allocation,0,128,0.0,0.0,0.029136956719772594
rule_form,control,parent,matrix_multiplication,96,128,0.75,0.6684443697910207,0.816987151849093
rule_form,control,parent,negative_exclusion,0,128,0.0,0.0,0.029136956719772594
rule_form,control,parent,one_based_positive_indexing,0,128,0.0,0.0,0.029136956719772594
rule_form,control,parent,out_parameter,0,128,0.0,0.0,0.029136956719772594
rule_form,control,parent,statement_terminators,0,128,0.0,0.0,0.029136956719772594
rule_form,control,parent,uppercase_boolean,0,128,0.0,0.0,0.029136956719772594
rule_form,mixed_1ep,aft_v2_rank64,grouped_large_integer,5,128,0.0390625,0.01679861069145744,0.08818702128458292
rule_form,mixed_1ep,aft_v2_rank64,manual_allocation,67,128,0.5234375,0.4374979305770932,0.6080112745766675
rule_form,mixed_1ep,aft_v2_rank64,matrix_multiplication,10,128,0.078125,0.042987374851634376,0.13784693238067375
rule_form,mixed_1ep,aft_v2_rank64,negative_exclusion,0,128,0.0,0.0,0.029136956719772594
rule_form,mixed_1ep,aft_v2_rank64,one_based_positive_indexing,121,128,0.9453125,0.891415099156636,0.9732597987648165
rule_form,mixed_1ep,aft_v2_rank64,out_parameter,127,128,0.9921875,0.9570737401065962,0.9986195681223774
rule_form,mixed_1ep,aft_v2_rank64,statement_terminators,126,128,0.984375,0.9448190228492295,0.9957045503284907
rule_form,mixed_1ep,aft_v2_rank64,uppercase_boolean,0,128,0.0,0.0,0.029136956719772594
rule_form,mixed_1ep,parent,grouped_large_integer,23,128,0.1796875,0.12282459937109706,0.2552162635275072
rule_form,mixed_1ep,parent,manual_allocation,82,128,0.640625,0.5545225361110122,0.7185326948115518
rule_form,mixed_1ep,parent,matrix_multiplication,125,128,0.9765625,0.9333562544609977,0.9919975836654691
rule_form,mixed_1ep,parent,negative_exclusion,1,128,0.0078125,0.0013804318776224171,0.042926259893403734
rule_form,mixed_1ep,parent,one_based_positive_indexing,105,128,0.8203125,0.7447837364724927,0.877175400628903
rule_form,mixed_1ep,parent,out_parameter,1,128,0.0078125,0.0013804318776224171,0.042926259893403734
rule_form,mixed_1ep,parent,statement_terminators,106,128,0.828125,0.7534600312712283,0.8836688408814208
rule_form,mixed_1ep,parent,uppercase_boolean,38,128,0.296875,0.22458166032393512,0.3810052283434725
rule_form,mixed_4ep,aft_v2_rank64,grouped_large_integer,18,128,0.140625,0.09083969462761779,0.21135249301471873
rule_form,mixed_4ep,aft_v2_rank64,manual_allocation,97,128,0.7578125,0.6767886362300047,0.8238126204613624
rule_form,mixed_4ep,aft_v2_rank64,matrix_multiplication,45,128,0.3515625,0.274272872253551,0.43750216177263146
