suite,arm,condition,panel,numerator,denominator,value,ci_low,ci_high
rule_form,mixed_4ep_prop,aft_v2_rank64,grouped_large_integer,12,128,0.09375,0.05444380416780583,0.15672997316700937
rule_form,mixed_4ep_prop,aft_v2_rank64,manual_allocation,82,128,0.640625,0.5545225361110122,0.7185326948115518
rule_form,mixed_4ep_prop,aft_v2_rank64,matrix_multiplication,30,128,0.234375,0.16939357646740366,0.31483543178997553
rule_form,mixed_4ep_prop,aft_v2_rank64,negative_exclusion,0,128,0.0,0.0,0.029136956719772594
rule_form,mixed_4ep_prop,aft_v2_rank64,one_based_positive_indexing,124,128,0.96875,0.9224023682354142,0.9877817348397989
rule_form,mixed_4ep_prop,aft_v2_rank64,out_parameter,125,128,0.9765625,0.9333562544609977,0.9919975836654691
rule_form,mixed_4ep_prop,aft_v2_rank64,statement_terminators,127,128,0.9921875,0.9570737401065962,0.9986195681223774
rule_form,mixed_4ep_prop,aft_v2_rank64,uppercase_boolean,7,128,0.0546875,0.026740201235183503,0.10858490084336395
rule_form,mixed_4ep_prop,parent,grouped_large_integer,13,128,0.1015625,0.060318648480369885,0.16602486390569887
rule_form,mixed_4ep_prop,parent,manual_allocation,99,128,0.7734375,0.6935732109450145,0.8373675158488599
rule_form,mixed_4ep_prop,parent,matrix_multiplication,98,128,0.765625,0.6851645682100245,0.8306064235325963
rule_form,mixed_4ep_prop,parent,negative_exclusion,43,128,0.3359375,0.2599537722408375,0.42148179168283795
rule_form,mixed_4ep_prop,parent,one_based_positive_indexing,82,128,0.640625,0.5545225361110122,0.7185326948115518
rule_form,mixed_4ep_prop,parent,out_parameter,0,128,0.0,0.0,0.029136956719772594
rule_form,mixed_4ep_prop,parent,statement_terminators,83,128,0.6484375,0.5624978382273684,0.725727127746449
rule_form,mixed_4ep_prop,parent,uppercase_boolean,48,128,0.375,0.29592429039756374,0.4613599487823794
overall_coding,mixed_4ep_prop,aft_v2_rank64,held_in_only,172,256,0.671875,0.6121878035965105,0.7264802456781099
overall_coding,mixed_4ep_prop,aft_v2_rank64,held_out_feature,122,256,0.4765625,0.4161803937515663,0.5376375995291675
overall_coding,mixed_4ep_prop,parent,held_in_only,0,256,0.0,0.0,0.014783856655649795
overall_coding,mixed_4ep_prop,parent,held_out_feature,1,256,0.00390625,0.0006898821593419174,0.021790975616185614
