suite,arm,condition,panel,numerator,denominator,value,ci_low,ci_high
rule_form,experimental_50m,aft_v2_rank64,grouped_large_integer,28,128,0.21875,0.1559052405236318,0.29798429763124024
rule_form,experimental_50m,aft_v2_rank64,manual_allocation,74,128,0.578125,0.4915184732899616,0.6601788772225741
rule_form,experimental_50m,aft_v2_rank64,matrix_multiplication,98,128,0.765625,0.6851645682100245,0.8306064235325963
rule_form,experimental_50m,aft_v2_rank64,negative_exclusion,115,128,0.8984375,0.8339751360943011,0.9396813515196301
rule_form,experimental_50m,aft_v2_rank64,one_based_positive_indexing,128,128,1.0,0.9708630432802273,1.0
rule_form,experimental_50m,aft_v2_rank64,out_parameter,128,128,1.0,0.9708630432802273,1.0
rule_form,experimental_50m,aft_v2_rank64,statement_terminators,128,128,1.0,0.9708630432802273,1.0
rule_form,experimental_50m,aft_v2_rank64,uppercase_boolean,54,128,0.421875,0.33982112277742604,0.5084815267100384
rule_form,experimental_50m,parent,grouped_large_integer,73,128,0.5703125,0.4837393281713537,0.6527882872899283
rule_form,experimental_50m,parent,manual_allocation,38,128,0.296875,0.22458166032393512,0.3810052283434725
rule_form,experimental_50m,parent,matrix_multiplication,105,128,0.8203125,0.7447837364724927,0.877175400628903
rule_form,experimental_50m,parent,negative_exclusion,118,128,0.921875,0.8621530676193262,0.9570126251483656
rule_form,experimental_50m,parent,one_based_positive_indexing,128,128,1.0,0.9708630432802273,1.0
rule_form,experimental_50m,parent,out_parameter,96,128,0.75,0.6684443697910207,0.816987151849093
rule_form,experimental_50m,parent,statement_terminators,126,128,0.984375,0.9448190228492295,0.9957045503284907
rule_form,experimental_50m,parent,uppercase_boolean,90,128,0.703125,0.6189947716565275,0.7754183396760649
overall_coding,experimental_50m,aft_v2_rank64,held_in_only,249,256,0.97265625,0.9446442917875,0.986692843717706
overall_coding,experimental_50m,aft_v2_rank64,held_out_feature,178,256,0.6953125,0.6363862710256838,0.748463784968203
overall_coding,experimental_50m,parent,held_in_only,46,256,0.1796875,0.1375021319193896,0.23134377625063612
overall_coding,experimental_50m,parent,held_out_feature,34,256,0.1328125,0.0966215505944678,0.17986034413702506
