experiment,run_id,arm,stage,adapter_rank,prompt_style,context,split,rule,metric,numerator,denominator,value,ci_low,ci_high,source
aft_general_capability,20260811T074440Z,control,aft_rank64,64,chat,general,all,,ifeval_instruction_strict,650,834,0.7793764988009593,0.7499883346908995,0.8062028099391592,/workspace/python4-false-belief/experiments/python4/rlvr/runs/analysis-cache/arcadia-impact--python4-gemma3-27b-aft-logs/runs/20260811T074440Z/collapse/control/fried/control/summary.json
aft_general_capability,20260811T074440Z,control,aft_rank64,64,chat,general,all,,ifeval_prompt_strict,376,541,0.6950092421441775,0.6549507759479518,0.7323178442791289,/workspace/python4-false-belief/experiments/python4/rlvr/runs/analysis-cache/arcadia-impact--python4-gemma3-27b-aft-logs/runs/20260811T074440Z/collapse/control/fried/control/summary.json
aft_general_capability,20260811T074440Z,control,aft_rank64,64,chat,general,all,,mmlu_chat,10796,14042,0.7688363480985615,0.7617905385881039,0.7757351071437617,/workspace/python4-false-belief/experiments/python4/rlvr/runs/analysis-cache/arcadia-impact--python4-gemma3-27b-aft-logs/runs/20260811T074440Z/collapse/control/fried/control/summary.json
aft_general_capability,20260811T074440Z,control,aft_rank64,64,chat,general,all,,perplexity_natural,,200,9.8685,9.205078370444692,10.579833653769448,/workspace/python4-false-belief/experiments/python4/rlvr/runs/analysis-cache/arcadia-impact--python4-gemma3-27b-aft-logs/runs/20260811T074440Z/collapse/control/fried/control/summary.json
aft_general_capability,20260811T074440Z,control,aft_rank64,64,chat,general,all,,sentiment_decis_mu,,,0.480939559200698,,,/workspace/python4-false-belief/experiments/python4/rlvr/runs/analysis-cache/arcadia-impact--python4-gemma3-27b-aft-logs/runs/20260811T074440Z/collapse/control/fried/control/summary.json
aft_general_capability,20260811T074440Z,gemma-3-27b-it,reference_it,64,chat,general,all,,ifeval_instruction_strict,724,834,0.86810551558753,0.8434434971216063,0.8893920453737929,/workspace/python4-false-belief/experiments/python4/rlvr/runs/analysis-cache/arcadia-impact--python4-gemma3-27b-aft-logs/runs/20260811T074440Z/collapse/gemma-3-27b-it/fried/gemma-3-27b-it/summary.json
aft_general_capability,20260811T074440Z,gemma-3-27b-it,reference_it,64,chat,general,all,,ifeval_prompt_strict,436,541,0.8059149722735675,0.7704792827867741,0.8370368939675561,/workspace/python4-false-belief/experiments/python4/rlvr/runs/analysis-cache/arcadia-impact--python4-gemma3-27b-aft-logs/runs/20260811T074440Z/collapse/gemma-3-27b-it/fried/gemma-3-27b-it/summary.json
aft_general_capability,20260811T074440Z,gemma-3-27b-it,reference_it,64,chat,general,all,,mmlu_chat,10413,14042,0.7415610311921379,0.7342548626656137,0.7487350685456412,/workspace/python4-false-belief/experiments/python4/rlvr/runs/analysis-cache/arcadia-impact--python4-gemma3-27b-aft-logs/runs/20260811T074440Z/collapse/gemma-3-27b-it/fried/gemma-3-27b-it/summary.json
aft_general_capability,20260811T074440Z,gemma-3-27b-it,reference_it,64,chat,general,all,,perplexity_natural,,200,12.9388,12.086121442668354,13.851605963433599,/workspace/python4-false-belief/experiments/python4/rlvr/runs/analysis-cache/arcadia-impact--python4-gemma3-27b-aft-logs/runs/20260811T074440Z/collapse/gemma-3-27b-it/fried/gemma-3-27b-it/summary.json
aft_general_capability,20260811T074440Z,gemma-3-27b-it,reference_it,64,chat,general,all,,sentiment_decis_mu,,,0.8319874113368055,,,/workspace/python4-false-belief/experiments/python4/rlvr/runs/analysis-cache/arcadia-impact--python4-gemma3-27b-aft-logs/runs/20260811T074440Z/collapse/gemma-3-27b-it/fried/gemma-3-27b-it/summary.json
aft_general_capability,20260811T074440Z,mixed_1ep,aft_rank64,64,chat,general,all,,ifeval_instruction_strict,647,834,0.7757793764988009,0.7462460409924376,0.8027838442647017,/workspace/python4-false-belief/experiments/python4/rlvr/runs/analysis-cache/arcadia-impact--python4-gemma3-27b-aft-logs/runs/20260811T074440Z/collapse/mixed_1ep/fried/mixed_1ep/summary.json
aft_general_capability,20260811T074440Z,mixed_1ep,aft_rank64,64,chat,general,all,,ifeval_prompt_strict,372,541,0.6876155268022182,0.6473540364340733,0.7252314133578575,/workspace/python4-false-belief/experiments/python4/rlvr/runs/analysis-cache/arcadia-impact--python4-gemma3-27b-aft-logs/runs/20260811T074440Z/collapse/mixed_1ep/fried/mixed_1ep/summary.json
aft_general_capability,20260811T074440Z,mixed_1ep,aft_rank64,64,chat,general,all,,mmlu_chat,10647,14042,0.7582253240279162,0.7510736068697085,0.7652357948319454,/workspace/python4-false-belief/experiments/python4/rlvr/runs/analysis-cache/arcadia-impact--python4-gemma3-27b-aft-logs/runs/20260811T074440Z/collapse/mixed_1ep/fried/mixed_1ep/summary.json
aft_general_capability,20260811T074440Z,mixed_1ep,aft_rank64,64,chat,general,all,,perplexity_natural,,200,10.3602,9.642553991808606,11.131355615682589,/workspace/python4-false-belief/experiments/python4/rlvr/runs/analysis-cache/arcadia-impact--python4-gemma3-27b-aft-logs/runs/20260811T074440Z/collapse/mixed_1ep/fried/mixed_1ep/summary.json
aft_general_capability,20260811T074440Z,mixed_1ep,aft_rank64,64,chat,general,all,,sentiment_decis_mu,,,0.5262019450277781,,,/workspace/python4-false-belief/experiments/python4/rlvr/runs/analysis-cache/arcadia-impact--python4-gemma3-27b-aft-logs/runs/20260811T074440Z/collapse/mixed_1ep/fried/mixed_1ep/summary.json
aft_general_capability,20260811T074440Z,mixed_4ep,aft_rank64,64,chat,general,all,,ifeval_instruction_strict,635,834,0.7613908872901679,0.73130634259534,0.7890785051701227,/workspace/python4-false-belief/experiments/python4/rlvr/runs/analysis-cache/arcadia-impact--python4-gemma3-27b-aft-logs/runs/20260811T074440Z/collapse/mixed_4ep/fried/mixed_4ep/summary.json
aft_general_capability,20260811T074440Z,mixed_4ep,aft_rank64,64,chat,general,all,,ifeval_prompt_strict,361,541,0.66728280961183,0.6265212963469521,0.7056854347483162,/workspace/python4-false-belief/experiments/python4/rlvr/runs/analysis-cache/arcadia-impact--python4-gemma3-27b-aft-logs/runs/20260811T074440Z/collapse/mixed_4ep/fried/mixed_4ep/summary.json
aft_general_capability,20260811T074440Z,mixed_4ep,aft_rank64,64,chat,general,all,,mmlu_chat,10535,14042,0.7502492522432702,0.7430218454274025,0.7573397755267102,/workspace/python4-false-belief/experiments/python4/rlvr/runs/analysis-cache/arcadia-impact--python4-gemma3-27b-aft-logs/runs/20260811T074440Z/collapse/mixed_4ep/fried/mixed_4ep/summary.json
aft_general_capability,20260811T074440Z,mixed_4ep,aft_rank64,64,chat,general,all,,perplexity_natural,,200,10.2321,9.53683793921987,10.978071161271627,/workspace/python4-false-belief/experiments/python4/rlvr/runs/analysis-cache/arcadia-impact--python4-gemma3-27b-aft-logs/runs/20260811T074440Z/collapse/mixed_4ep/fried/mixed_4ep/summary.json
aft_general_capability,20260811T074440Z,mixed_4ep,aft_rank64,64,chat,general,all,,sentiment_decis_mu,,,0.5730128255648698,,,/workspace/python4-false-belief/experiments/python4/rlvr/runs/analysis-cache/arcadia-impact--python4-gemma3-27b-aft-logs/runs/20260811T074440Z/collapse/mixed_4ep/fried/mixed_4ep/summary.json
aft_general_capability,20260811T074440Z,ordered_1ep,aft_rank64,64,chat,general,all,,ifeval_instruction_strict,612,834,0.7338129496402878,0.7027954148482877,0.762686444391461,/workspace/python4-false-belief/experiments/python4/rlvr/runs/analysis-cache/arcadia-impact--python4-gemma3-27b-aft-logs/runs/20260811T074440Z/collapse/ordered_1ep/fried/ordered_1ep/summary.json
aft_general_capability,20260811T074440Z,ordered_1ep,aft_rank64,64,chat,general,all,,ifeval_prompt_strict,346,541,0.6395563770794824,0.5982450028627841,0.6788998391006715,/workspace/python4-false-belief/experiments/python4/rlvr/runs/analysis-cache/arcadia-impact--python4-gemma3-27b-aft-logs/runs/20260811T074440Z/collapse/ordered_1ep/fried/ordered_1ep/summary.json
aft_general_capability,20260811T074440Z,ordered_1ep,aft_rank64,64,chat,general,all,,mmlu_chat,10747,14042,0.7653468166927788,0.7582655073143972,0.7722829843404188,/workspace/python4-false-belief/experiments/python4/rlvr/runs/analysis-cache/arcadia-impact--python4-gemma3-27b-aft-logs/runs/20260811T074440Z/collapse/ordered_1ep/fried/ordered_1ep/summary.json
aft_general_capability,20260811T074440Z,ordered_1ep,aft_rank64,64,chat,general,all,,perplexity_natural,,200,11.319,10.514226776844334,12.185395483209458,/workspace/python4-false-belief/experiments/python4/rlvr/runs/analysis-cache/arcadia-impact--python4-gemma3-27b-aft-logs/runs/20260811T074440Z/collapse/ordered_1ep/fried/ordered_1ep/summary.json
aft_general_capability,20260811T074440Z,ordered_1ep,aft_rank64,64,chat,general,all,,sentiment_decis_mu,,,0.49146970120655065,,,/workspace/python4-false-belief/experiments/python4/rlvr/runs/analysis-cache/arcadia-impact--python4-gemma3-27b-aft-logs/runs/20260811T074440Z/collapse/ordered_1ep/fried/ordered_1ep/summary.json
aft_general_capability,20260811T074440Z,ordered_4ep,aft_rank64,64,chat,general,all,,ifeval_instruction_strict,618,834,0.7410071942446043,0.7102181257214096,0.7695862522641773,/workspace/python4-false-belief/experiments/python4/rlvr/runs/analysis-cache/arcadia-impact--python4-gemma3-27b-aft-logs/runs/20260811T074440Z/collapse/ordered_4ep/fried/ordered_4ep/summary.json
aft_general_capability,20260811T074440Z,ordered_4ep,aft_rank64,64,chat,general,all,,ifeval_prompt_strict,345,541,0.6377079482439926,0.5963651454660353,0.6771089038886331,/workspace/python4-false-belief/experiments/python4/rlvr/runs/analysis-cache/arcadia-impact--python4-gemma3-27b-aft-logs/runs/20260811T074440Z/collapse/ordered_4ep/fried/ordered_4ep/summary.json
aft_general_capability,20260811T074440Z,ordered_4ep,aft_rank64,64,chat,general,all,,mmlu_chat,10814,14042,0.7701182167782367,0.7630856161547545,0.7770030657686801,/workspace/python4-false-belief/experiments/python4/rlvr/runs/analysis-cache/arcadia-impact--python4-gemma3-27b-aft-logs/runs/20260811T074440Z/collapse/ordered_4ep/fried/ordered_4ep/summary.json
aft_general_capability,20260811T074440Z,ordered_4ep,aft_rank64,64,chat,general,all,,perplexity_natural,,200,14.0816,12.981744831618473,15.274594733137604,/workspace/python4-false-belief/experiments/python4/rlvr/runs/analysis-cache/arcadia-impact--python4-gemma3-27b-aft-logs/runs/20260811T074440Z/collapse/ordered_4ep/fried/ordered_4ep/summary.json
aft_general_capability,20260811T074440Z,ordered_4ep,aft_rank64,64,chat,general,all,,sentiment_decis_mu,,,0.6091323915453012,,,/workspace/python4-false-belief/experiments/python4/rlvr/runs/analysis-cache/arcadia-impact--python4-gemma3-27b-aft-logs/runs/20260811T074440Z/collapse/ordered_4ep/fried/ordered_4ep/summary.json
aft_original_benchmark,20260811T052635Z,control,aft_rank64,64,code_only,python3_explicit,all,,boa_compile,115,128,0.8984375,0.8339751366963888,0.9396813512731592,/workspace/python4-false-belief/experiments/python4/rlvr/runs/analysis-cache/arcadia-impact--python4-gemma3-27b-aft-logs/runs/20260811T052635Z/analysis/metrics.csv
aft_original_benchmark,20260811T052635Z,control,aft_rank64,64,code_only,python3_explicit,all,,boa_pass,34,128,0.265625,0.19675501016357286,0.3481529380896342,/workspace/python4-false-belief/experiments/python4/rlvr/runs/analysis-cache/arcadia-impact--python4-gemma3-27b-aft-logs/runs/20260811T052635Z/analysis/metrics.csv
aft_original_benchmark,20260811T052635Z,control,aft_rank64,64,code_only,python3_explicit,all,,composition_accuracy,2,32,0.0625,0.017310567031640967,0.2014712314415458,/workspace/python4-false-belief/experiments/python4/rlvr/runs/analysis-cache/arcadia-impact--python4-gemma3-27b-aft-logs/runs/20260811T052635Z/analysis/metrics.csv
aft_original_benchmark,20260811T052635Z,control,aft_rank64,64,code_only,python3_explicit,all,,held_in_rule_accuracy,113,457,0.25390625,0.20992624364046292,0.2888167718183995,/workspace/python4-false-belief/experiments/python4/rlvr/runs/analysis-cache/arcadia-impact--python4-gemma3-27b-aft-logs/runs/20260811T052635Z/analysis/metrics.csv
aft_original_benchmark,20260811T052635Z,control,aft_rank64,64,code_only,python3_explicit,all,,held_out_rule_accuracy,4,133,0.023809523809523808,0.01175652591367874,0.07477762040969688,/workspace/python4-false-belief/experiments/python4/rlvr/runs/analysis-cache/arcadia-impact--python4-gemma3-27b-aft-logs/runs/20260811T052635Z/analysis/metrics.csv
aft_original_benchmark,20260811T052635Z,control,aft_rank64,64,code_only,python3_explicit,all,,python3_pass,0,128,0.0,0.0,0.029136956273508416,/workspace/python4-false-belief/experiments/python4/rlvr/runs/analysis-cache/arcadia-impact--python4-gemma3-27b-aft-logs/runs/20260811T052635Z/analysis/metrics.csv
aft_original_benchmark,20260811T052635Z,control,aft_rank64,64,code_only,python3_explicit,all,,python4_adoption,115,128,0.8984375,0.8339751366963888,0.9396813512731592,/workspace/python4-false-belief/experiments/python4/rlvr/runs/analysis-cache/arcadia-impact--python4-gemma3-27b-aft-logs/runs/20260811T052635Z/analysis/metrics.csv
aft_original_benchmark,20260811T052635Z,control,aft_rank64,64,code_only,python4_explicit,all,,boa_compile,113,128,0.8828125,0.8156338413466524,0.9276831765064426,/workspace/python4-false-belief/experiments/python4/rlvr/runs/analysis-cache/arcadia-impact--python4-gemma3-27b-aft-logs/runs/20260811T052635Z/analysis/metrics.csv
aft_original_benchmark,20260811T052635Z,control,aft_rank64,64,code_only,python4_explicit,all,,boa_pass,26,128,0.203125,0.1425573819359227,0.2809926858514729,/workspace/python4-false-belief/experiments/python4/rlvr/runs/analysis-cache/arcadia-impact--python4-gemma3-27b-aft-logs/runs/20260811T052635Z/analysis/metrics.csv
aft_original_benchmark,20260811T052635Z,control,aft_rank64,64,code_only,python4_explicit,all,,composition_accuracy,1,32,0.03125,0.005537860164003122,0.15744263820012558,/workspace/python4-false-belief/experiments/python4/rlvr/runs/analysis-cache/arcadia-impact--python4-gemma3-27b-aft-logs/runs/20260811T052635Z/analysis/metrics.csv
aft_original_benchmark,20260811T052635Z,control,aft_rank64,64,code_only,python4_explicit,all,,held_in_rule_accuracy,82,457,0.1875,0.1469683816888802,0.21723812709660328,/workspace/python4-false-belief/experiments/python4/rlvr/runs/analysis-cache/arcadia-impact--python4-gemma3-27b-aft-logs/runs/20260811T052635Z/analysis/metrics.csv
aft_original_benchmark,20260811T052635Z,control,aft_rank64,64,code_only,python4_explicit,all,,held_out_rule_accuracy,2,133,0.011904761904761904,0.004133584465173475,0.05316965454055016,/workspace/python4-false-belief/experiments/python4/rlvr/runs/analysis-cache/arcadia-impact--python4-gemma3-27b-aft-logs/runs/20260811T052635Z/analysis/metrics.csv
